,model_id,Variable,batch_size,lr,seed,target_layer,operation,mask_init,model dir,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max,vanilla acc,ablated acc,random ablate acc mean,random ablate acc std
0,3235c11a-450b-4427-9f76-cddb58bc9cb5,s,500,0.001,0,0,attn,0.0,./Model/Random_ViT/Shape/,2.2491135001182556,2.2063755989074707,0.6616465863453815,0.06350401606425703,0.6635,0.0885,0.48343373493975905,0.437,387294.0,2359296,0.993,0.501,0.501,0.0
1,db5619fb-b572-4df6-a087-a8a3f2b787db,s,500,0.001,0,0,mlp,0.0,./Model/Random_ViT/Shape/,2.766867160797119,2.6931962966918945,0.22816265060240964,0.06350401606425703,0.1685,0.0885,0.26982931726907633,0.205,55719.0,4718592,0.993,0.501,0.9067999999999999,0.05662296353953933
2,72468d41-4bbc-44a5-82dc-343651f7f1b4,s,500,0.001,0,1,attn,0.0,./Model/Random_ViT/Shape/,2.1535704135894775,2.1229746341705322,0.6684236947791165,0.06350401606425703,0.6625,0.0885,0.3865461847389558,0.3285,421545.0,2359296,0.993,0.501,0.501,0.0
3,56d7836f-b8ba-49a2-bc6c-a07ba87e386f,s,500,0.001,0,1,mlp,0.0,./Model/Random_ViT/Shape/,2.663841724395752,2.605087995529175,0.3059738955823293,0.06350401606425703,0.186,0.0885,0.3092369477911647,0.2075,814011.0,4718592,0.993,0.501,0.501,0.0
4,27bec815-cdf1-4092-8c06-74e87e22b3ce,s,500,0.001,0,2,attn,0.0,./Model/Random_ViT/Shape/,2.145119845867157,2.1205679178237915,0.642570281124498,0.06350401606425703,0.646,0.0885,0.3950803212851406,0.332,457599.0,2359296,0.993,0.501,0.5134,0.012800000000000011
5,33064f09-7b97-453b-b5df-99d6324e7197,s,500,0.001,0,2,mlp,0.0,./Model/Random_ViT/Shape/,2.647740602493286,2.5922054052352905,0.3556726907630522,0.06350401606425703,0.236,0.0885,0.3170180722891566,0.2215,1171635.0,4718592,0.993,0.501,0.501,0.0
6,f159a0c7-7af0-4328-88cc-78295e62116e,s,500,0.001,0,3,attn,0.0,./Model/Random_ViT/Shape/,2.1270123720169067,2.090524435043335,0.6789658634538153,0.06350401606425703,0.675,0.0885,0.4234437751004016,0.3575,501107.0,2359296,0.993,0.501,0.544,0.018814887722226795
7,acc5fd3e-5333-4de4-b922-44f362782c03,s,500,0.001,0,3,mlp,0.0,./Model/Random_ViT/Shape/,2.629552483558655,2.5787734985351562,0.3549196787148594,0.06350401606425703,0.251,0.0885,0.3160140562248996,0.235,1221013.0,4718592,0.993,0.669,0.5138,0.0017204650534085267
8,8b264381-2e3c-4006-9026-31bf7fb0b1dc,s,500,0.001,0,4,attn,0.0,./Model/Random_ViT/Shape/,2.1277058124542236,2.0824285745620728,0.696285140562249,0.06350401606425703,0.708,0.0885,0.43122489959839355,0.3645,504524.0,2359296,0.993,0.501,0.5176000000000001,0.0038781438859330666
9,a7e57f9a-06ea-4316-8882-a16833dbe175,s,500,0.001,0,4,mlp,0.0,./Model/Random_ViT/Shape/,2.6710904836654663,2.6132391691207886,0.37198795180722893,0.06350401606425703,0.2805,0.0885,0.3200301204819277,0.2275,1210509.0,4718592,0.993,0.564,0.7083999999999999,0.018736061485808576
