,model_id,Variable,batch_size,lr,seed,target_layer,operation,mask_init,model dir,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max,vanilla acc,ablated acc,random ablate acc mean,random ablate acc std
0,65498567-a946-482c-a6b0-096d914e2b13,t,500,0.001,0,0,attn,0.0,./Model/Random_ViT/Texture/,4.360866069793701,3.7239036560058594,0.0941358024691358,0.00823045267489712,0.0175,0.0115,0.06867283950617284,0.001,188471.0,2359296,0.993,0.501,0.501,0.0
1,e49f5cbd-7e55-4cfc-8466-8ce3e6e671c1,t,500,0.001,0,0,mlp,0.0,./Model/Random_ViT/Texture/,4.727777600288391,4.177924156188965,0.019804526748971193,0.00823045267489712,0.0115,0.0115,0.018775720164609055,0.0095,374.0,4718592,0.993,0.987,0.993,0.0
2,38a61af2-86c6-48ca-9b42-63f2d4457761,t,500,0.001,0,1,attn,0.0,./Model/Random_ViT/Texture/,4.3553794622421265,3.7048107385635376,0.08847736625514403,0.00823045267489712,0.0395,0.0115,0.073559670781893,0.0005,253933.0,2359296,0.993,0.501,0.501,0.0
3,02048b39-ba31-4d52-ae1d-4c8e56650df0,t,500,0.001,0,1,mlp,0.0,./Model/Random_ViT/Texture/,4.669886827468872,4.071209669113159,0.05915637860082305,0.00823045267489712,0.01,0.0115,0.05324074074074074,0.008,243081.0,4718592,0.993,0.501,0.6138,0.04767976510009252
4,607fa221-69de-4471-bc50-54db6e7441a2,t,500,0.001,0,2,attn,0.0,./Model/Random_ViT/Texture/,4.356014132499695,3.734427809715271,0.09284979423868313,0.00823045267489712,0.0125,0.0115,0.07896090534979423,0.008,335170.0,2359296,0.993,0.501,0.6506000000000001,0.03447085725652906
5,a04899f6-442a-4ab5-ba39-ced22ba8133a,t,500,0.001,0,2,mlp,0.0,./Model/Random_ViT/Texture/,4.639233350753784,4.01636528968811,0.0684156378600823,0.00823045267489712,0.006,0.0115,0.07253086419753087,0.006,548000.0,4718592,0.993,0.628,0.5761999999999999,0.014958609561052097
6,1cb842d0-99e5-4cc5-9b5e-7e95284b1831,t,500,0.001,0,3,attn,0.0,./Model/Random_ViT/Texture/,4.332091689109802,3.7430402040481567,0.09902263374485597,0.00823045267489712,0.0155,0.0115,0.07613168724279835,0.0055,412808.0,2359296,0.993,0.501,0.5292,0.016460862674841818
7,5ea9b8e2-337f-4a69-856d-0cecf814a01d,t,500,0.001,0,3,mlp,0.0,./Model/Random_ViT/Texture/,4.629234671592712,3.9991902112960815,0.06893004115226338,0.00823045267489712,0.006,0.0115,0.07253086419753087,0.01,600382.0,4718592,0.993,0.774,0.6694000000000001,0.04231595443801308
8,136d6302-b1ce-4b6b-9e2e-21412696eb7c,t,500,0.001,0,4,attn,0.0,./Model/Random_ViT/Texture/,4.322205901145935,3.7224777936935425,0.08641975308641975,0.00823045267489712,0.022,0.0115,0.07561728395061729,0.0055,419362.0,2359296,0.993,0.501,0.5584,0.02093418257300721
9,9de1dfe6-72c0-45c4-8be9-2f19041b73c4,t,500,0.001,0,4,mlp,0.0,./Model/Random_ViT/Texture/,4.632732272148132,3.9992401599884033,0.07124485596707819,0.00823045267489712,0.009,0.0115,0.07484567901234568,0.0055,615663.0,4718592,0.993,0.682,0.8240000000000001,0.01836300628982083
10,231343bc-1923-44a4-ad27-580d8c9434a3,t,500,0.001,0,5,attn,0.0,./Model/Random_ViT/Texture/,4.346112608909607,3.7490644454956055,0.09927983539094651,0.00823045267489712,0.0355,0.0115,0.07561728395061729,0.0055,412676.0,2359296,0.993,0.501,0.7545999999999999,0.004963869458396347
11,2a3edbad-608f-429c-a22b-c3b56bdd7950,t,500,0.001,0,5,mlp,0.0,./Model/Random_ViT/Texture/,4.6437087059021,4.028974294662476,0.07227366255144033,0.00823045267489712,0.009,0.0115,0.07844650205761317,0.008,639483.0,4718592,0.993,0.853,0.8822000000000001,0.01550999677627305
12,e64d1c60-9a2d-4acf-a7a8-cbcae5809846,t,500,0.001,0,6,attn,0.0,./Model/Random_ViT/Texture/,4.346963882446289,3.7369370460510254,0.08950617283950617,0.00823045267489712,0.0045,0.0115,0.07844650205761317,0.0055,398979.0,2359296,0.993,0.501,0.95,0.0
13,017fe7d1-3584-4f4c-b1af-649ee46d39fb,t,500,0.001,0,6,mlp,0.0,./Model/Random_ViT/Texture/,4.635231137275696,4.003985166549683,0.06944444444444445,0.00823045267489712,0.009,0.0115,0.0727880658436214,0.011,650829.0,4718592,0.993,0.871,0.9448000000000001,0.002227105745132011
14,36b83787-6d30-4618-a8bf-b818704e15d1,t,500,0.001,0,7,attn,0.0,./Model/Random_ViT/Texture/,4.356938362121582,3.7826417684555054,0.10339506172839506,0.00823045267489712,0.013,0.0115,0.0763888888888889,0.0065,418973.0,2359296,0.993,0.541,0.994,0.0040000000000000036
15,bf41bec3-f234-4f47-be03-726039fb5978,t,500,0.001,0,7,mlp,0.0,./Model/Random_ViT/Texture/,4.69291615486145,4.106145620346069,0.06815843621399177,0.00823045267489712,0.0035,0.0115,0.07536008230452675,0.0045,686563.0,4718592,0.993,0.949,0.954,0.0058991524815010556
16,9ce16b2d-6522-419e-a284-39de050b4401,t,500,0.001,0,8,attn,0.0,./Model/Random_ViT/Texture/,4.3495423793792725,3.758939504623413,0.09284979423868313,0.00823045267489712,0.022,0.0115,0.07741769547325103,0.0065,406412.0,2359296,0.993,0.521,0.9551999999999999,0.015118200951171381
17,c932aa0f-7be8-43c5-9809-430db21ed36a,t,500,0.001,0,8,mlp,0.0,./Model/Random_ViT/Texture/,4.641672968864441,4.014137029647827,0.07098765432098765,0.00823045267489712,0.0025,0.0115,0.07381687242798354,0.0125,705132.0,4718592,0.993,0.952,0.9752000000000001,0.006013318551349169
18,d13f630c-0145-40d3-9ad6-213a2832d86d,t,500,0.001,0,9,attn,0.0,./Model/Random_ViT/Texture/,4.3331475257873535,3.7659634351730347,0.09567901234567901,0.00823045267489712,0.0065,0.0115,0.07561728395061729,0.0065,427236.0,2359296,0.993,0.748,0.9812,0.007704544113703297
19,ef5cb30c-123d-419e-8452-0010bd0304e7,t,500,0.001,0,9,mlp,0.0,./Model/Random_ViT/Texture/,4.674930691719055,4.079366683959961,0.06944444444444445,0.00823045267489712,0.0035,0.0115,0.07536008230452675,0.0065,742975.0,4718592,0.993,0.961,0.9924,0.0008000000000000007
20,0ea6e8d7-321a-4eea-a29b-b31b200ad211,t,500,0.001,0,10,attn,0.0,./Model/Random_ViT/Texture/,4.344788432121277,3.7557055950164795,0.11136831275720165,0.00823045267489712,0.0125,0.0115,0.07587448559670781,0.006,416963.0,2359296,0.993,0.94,0.9986,0.0008000000000000007
21,8528da5a-0458-4fed-ad50-a9f996a863c3,t,500,0.001,0,10,mlp,0.0,./Model/Random_ViT/Texture/,4.674606800079346,4.070073843002319,0.0691872427983539,0.00823045267489712,0.002,0.0115,0.0720164609053498,0.0085,702128.0,4718592,0.993,0.953,0.993,0.0
22,a6f0f618-3c88-4017-81de-766e1dc39ce1,t,500,0.001,0,11,attn,0.0,./Model/Random_ViT/Texture/,4.3419029712677,3.7500866651535034,0.11008230452674897,0.00823045267489712,0.018,0.0115,0.07690329218106996,0.0055,398283.0,2359296,0.993,0.946,0.9984,0.0004898979485566361
23,bbd9961e-e9bc-425d-89e5-f90e7c9fa548,t,500,0.001,0,11,mlp,0.0,./Model/Random_ViT/Texture/,4.630850672721863,4.003807544708252,0.06584362139917696,0.00823045267489712,0.006,0.0115,0.07536008230452675,0.0085,727549.0,4718592,0.993,0.98,0.993,0.0
