Run ID,Object Size,Model Patch Size,Pretrain,Task,Compositional,Train Loss,Train Acc,Val Acc,Test Acc (IID),Test Acc (Compositional),Test Acc (OOD Shape),Test Acc (OOD Color),Test Acc (OOD Shape & Color),Aux Layer (idx),Shape Acc (Train),Shape Acc (Val),Shape Acc (Test),Color Acc (Train),Color Acc (Val),Color Acc (Test)
ilzrl761,32,32,CLIP,Discrimination,256-256-256,3E-07,1,0.9977,0.9964,0.9964,0.936,0.9802,0.9575,,,,,,,
4hhegsgl,32,32,CLIP,Discrimination,32-32-224,5E-06,0.9966,0.9998,0.9848,0.9848,0.9759,0.9767,0.9802,,,,,,,
3eymil2v,32,32,CLIP,RMTS,256-256-256,3E-06,1,0.9861,0.9736,0.9828,0.93,0.9468,0.9052,,,,,,,
91zt5xij,32,32,CLIP,RMTS,32-32-224,7E-07,1,0.9848,0.9825,0.9827,0.8947,0.944,0.8618,,,,,,,
ly231q6l,32,32,From Scratch,Discrimination,256-256-256,4.3E-02,0.9856,0.8931,0.8842,0.888,0.5432,0.4689,0.4669,,,,,,,
2jcdz2kj,32,32,From Scratch,Discrimination,32-32-224,1.9E-02,0.9917,0.8773,0.88,0.7831,0.5418,0.5364,0.5201,,,,,,,
qn1rfr42,32,32,From Scratch,RMTS,256-256-256,6.93E-01,0.4956,0.5,0.5,0.5,0.4961,0.4978,0.4847,,,,,,,
uv9ptts7,32,32,From Scratch,RMTS,32-32-224,4.82E-01,0.6791,0.5,0.5,0.5,0.4961,0.4978,0.4847,,,,,,,
aceb4c7d,32,32,From Scratch + Aux,Discrimination,256-256-256,3.6E-03,0.9997,0.9891,0.9909,0.9909,0.5656,0.5473,0.5208,4,0.9993,0.9954,0.9959,1,0.9998,1
q1f4t7fd,32,32,From Scratch + Aux,Discrimination,32-32-224,2E-06,0.9966,0.9976,0.9966,0.935,0.5463,0.498,0.4841,4,0.9966,0.9999,0.3367,0.9966,1,0.545
2ya3p57l,32,32,From Scratch + Aux,RMTS,256-256-256,6.97E-01,0.5266,0.5128,0.5028,0.5022,0.492,0.5053,0.4859,2,0.9988,1,1,0.9991,1,1
wenhyh5d,32,32,From Scratch + Aux,RMTS,32-32-224,5.96E-01,0.6461,0.6402,0.59,0.59,0.5096,0.4855,0.4833,3,0.9796,0.9998,0.2371,0.9796,0.9996,0.7178
2jylw4un,32,16,CLIP,Discrimination,256-256-256,3.26E-07,1,0.9953,0.9933,0.9933,0.9898,0.9934,0.9802,,,,,,,
qzu5c6cy,32,16,CLIP,Discrimination,32-32-224,3.41E-07,0.981,0.9991,0.9847,0.9847,0.9748,0.9747,0.9516,,,,,,,
tavk2a8o,32,16,CLIP,RMTS,256-256-256,0.000026,1,0.9791,0.9831,0.9831,0.9372,0.9547,0.85,,,,,,,
ld8hk72f,32,16,CLIP,RMTS,32-32-224,6.62E-07,1,0.9797,0.9802,0.983,0.9428,0.9578,0.8508,,,,,,,
46bl9da9,32,16,ImageNet,Discrimination,256-256-256,0.002511,1,0.9764,0.9752,0.9752,0.8704,0.9715,0.9224,,,,,,,
sckdfa23,32,16,ImageNet,Discrimination,32-32-224,0.002,0.981,0.9943,0.9572,0.9572,0.8756,0.9569,0.8789,,,,,,,
l2cgg62f,32,16,ImageNet,RMTS,256-256-256,0.014,0.9969,0.882,0.8934,0.8934,0.6847,0.7047,,,,,,,,
