,layer,val acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.512625,0.702125,0.03825,0.03325,0.04325
1,1,0.52825,0.744125,0.2575,0.37675,0.13825
2,2,0.705875,0.786625,0.445375,0.488,0.40275
3,3,0.80625,0.88775,0.92575,0.91075,0.94075
4,4,0.9135,0.968375,0.897375,0.88075,0.914
5,5,0.98775,1.0,0.98375,0.98,0.9875
6,6,0.992625,1.0,0.773875,0.8175,0.73025
7,7,0.990375,1.0,0.05,0.0535,0.0465
8,8,0.98975,1.0,0.02325,0.02475,0.02175
9,9,0.98975,1.0,0.02075,0.021,0.0205
10,10,0.990375,1.0,0.020625,0.0205,0.02075
11,11,0.989875,1.0,0.02075,0.02075,0.02075
