,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.02,0.998,1.904,0.739,1.867,0.745,1.694,0.715,0.428,0.911,1.849,0.518,1.606,0.75
1,1,0.0,1.0,0.458,0.927,0.497,0.919,0.744,0.855,0.633,0.893,1.945,0.516,0.962,0.859
2,2,0.006,1.0,0.704,0.893,0.696,0.899,1.701,0.763,1.519,0.781,3.046,0.521,1.672,0.792
3,3,0.06,0.995,1.327,0.815,1.394,0.806,2.705,0.65,2.462,0.674,4.639,0.5,2.864,0.659
4,4,3.266,0.578,5.203,0.386,5.13,0.38,5.023,0.461,3.675,0.508,5.012,0.5,4.253,0.445
5,5,3.867,0.494,5.517,0.334,5.489,0.329,5.602,0.43,3.596,0.495,5.411,0.5,4.609,0.492
6,6,3.038,0.457,4.556,0.297,4.515,0.304,4.54,0.419,4.094,0.419,9.526,0.055,3.372,0.487
7,7,2.939,0.425,4.277,0.295,4.145,0.302,6.625,0.238,4.789,0.317,10.381,0.012,3.982,0.428
8,8,4.842,0.162,5.981,0.147,5.743,0.145,6.386,0.149,6.65,0.111,10.934,0.006,4.585,0.247
9,9,6.729,0.007,7.845,0.006,7.68,0.015,8.89,0.003,9.381,0.004,9.102,0.003,7.787,0.003
10,10,10.124,0.003,10.458,0.004,10.348,0.009,10.538,0.003,10.671,0.003,9.87,0.002,10.408,0.003
11,11,11.97,0.003,11.898,0.004,11.824,0.007,11.898,0.004,11.898,0.004,11.898,0.004,11.898,0.004
