,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.002,1.0,1.533,0.739,2.972,0.599,2.902,0.552,2.015,0.605,1.038,0.479,4.006,0.519
1,1,0.0,1.0,0.636,0.891,1.846,0.741,1.879,0.676,0.947,0.806,0.946,0.434,2.568,0.634
2,2,0.0,1.0,0.375,0.938,1.37,0.807,1.856,0.748,0.584,0.884,1.663,0.492,1.572,0.792
3,3,0.0,1.0,0.544,0.915,1.844,0.755,3.681,0.574,1.782,0.751,2.234,0.508,2.435,0.697
4,4,0.321,0.907,1.928,0.666,5.674,0.373,5.811,0.428,4.664,0.374,3.823,0.501,5.545,0.382
5,5,3.405,0.494,4.545,0.343,7.681,0.201,5.95,0.311,4.885,0.364,5.44,0.489,5.568,0.322
6,6,4.329,0.271,5.629,0.187,8.462,0.088,7.433,0.117,7.997,0.068,10.293,0.004,6.357,0.15
7,7,4.484,0.175,5.506,0.15,8.22,0.086,8.709,0.024,7.889,0.023,11.133,0.001,7.019,0.046
8,8,4.404,0.147,5.2,0.126,8.329,0.076,7.45,0.012,8.908,0.012,11.38,0.001,5.632,0.034
9,9,6.281,0.011,6.819,0.009,9.319,0.058,8.39,0.003,10.28,0.003,10.765,0.001,7.545,0.005
10,10,9.475,0.002,9.638,0.002,10.357,0.053,9.891,0.001,10.948,0.001,9.972,0.002,9.694,0.001
11,11,13.0,0.0,12.917,0.001,11.718,0.052,12.917,0.001,12.917,0.001,12.917,0.001,12.917,0.001
