,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.001,1.0,0.889,0.849,2.032,0.721,2.26,0.642,0.774,0.828,0.931,0.521,1.632,0.765
1,1,0.0,1.0,0.337,0.949,0.782,0.887,1.134,0.792,0.461,0.895,0.941,0.483,0.921,0.849
2,2,0.004,1.0,0.539,0.923,0.991,0.862,2.484,0.674,1.112,0.815,1.365,0.431,1.63,0.785
3,3,0.012,0.999,0.99,0.87,2.167,0.724,3.016,0.633,2.446,0.693,1.968,0.484,2.821,0.675
4,4,1.994,0.69,4.249,0.42,6.989,0.286,5.521,0.417,4.82,0.443,3.882,0.502,5.251,0.431
5,5,5.112,0.312,6.548,0.228,8.233,0.145,5.254,0.382,4.455,0.373,5.704,0.442,4.722,0.409
6,6,5.69,0.093,6.76,0.069,8.637,0.038,5.686,0.126,7.601,0.08,10.289,0.006,5.049,0.137
7,7,5.615,0.058,6.855,0.04,8.415,0.018,7.789,0.023,9.369,0.005,10.995,0.002,5.697,0.031
8,8,5.803,0.033,6.992,0.029,9.098,0.013,7.117,0.018,9.948,0.003,11.042,0.001,5.706,0.022
9,9,7.604,0.001,8.432,0.002,10.158,0.006,8.379,0.002,10.684,0.002,10.205,0.002,7.102,0.002
10,10,10.401,0.001,10.632,0.001,11.382,0.006,9.98,0.001,11.174,0.001,9.038,0.001,9.737,0.001
11,11,13.036,0.001,12.989,0.001,12.58,0.006,12.989,0.001,12.989,0.001,12.989,0.001,12.989,0.001
