,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.001,1.0,1.851,0.702,3.069,0.592,3.272,0.53,1.727,0.651,0.955,0.514,3.914,0.51
1,1,0.0,1.0,0.579,0.907,1.791,0.745,2.128,0.649,0.837,0.829,0.917,0.456,2.386,0.652
2,2,0.0,1.0,0.411,0.936,1.304,0.815,2.594,0.682,0.835,0.863,1.484,0.484,2.111,0.743
3,3,0.0,1.0,0.472,0.928,1.816,0.764,3.209,0.618,1.647,0.755,2.151,0.486,2.06,0.731
4,4,0.271,0.924,2.04,0.658,5.46,0.397,5.778,0.392,4.264,0.424,3.964,0.5,5.265,0.396
5,5,3.289,0.501,4.569,0.354,7.781,0.176,6.301,0.271,4.983,0.347,5.424,0.487,5.167,0.357
6,6,4.286,0.268,5.545,0.185,8.418,0.083,7.787,0.107,7.785,0.059,10.224,0.004,6.401,0.128
7,7,4.505,0.182,5.45,0.16,8.367,0.092,8.025,0.033,8.847,0.014,11.134,0.001,6.603,0.052
8,8,4.333,0.152,5.163,0.125,8.339,0.079,7.304,0.011,8.679,0.021,11.402,0.001,6.041,0.019
9,9,6.334,0.006,6.844,0.007,9.374,0.056,8.586,0.002,9.974,0.002,11.092,0.001,7.352,0.004
10,10,9.461,0.002,9.624,0.002,10.323,0.053,9.886,0.001,11.101,0.001,9.87,0.001,9.321,0.001
11,11,13.0,0.0,12.923,0.001,11.718,0.052,12.923,0.001,12.923,0.001,12.923,0.001,12.923,0.001
