,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.066,0.983,1.149,0.833,2.121,0.73,4.837,0.519,2.953,0.607,1.799,0.575,3.69,0.608
1,1,0.011,0.998,0.559,0.935,1.091,0.875,3.701,0.667,0.398,0.948,0.809,0.745,1.883,0.821
2,2,0.026,0.995,0.77,0.914,1.152,0.871,3.397,0.698,0.349,0.948,0.671,0.823,2.131,0.806
3,3,0.193,0.98,1.087,0.879,1.849,0.796,3.141,0.677,1.082,0.868,2.175,0.608,2.7,0.727
4,4,3.885,0.506,6.415,0.324,8.069,0.232,4.811,0.341,4.284,0.373,2.723,0.489,5.908,0.311
5,5,9.844,0.22,10.439,0.185,11.089,0.149,7.115,0.371,7.491,0.327,4.005,0.428,7.678,0.364
6,6,10.498,0.05,10.66,0.038,11.06,0.042,7.916,0.132,7.789,0.127,7.76,0.131,8.088,0.112
7,7,11.05,0.039,10.952,0.033,11.443,0.037,8.65,0.066,12.165,0.02,4.289,0.167,9.136,0.057
8,8,11.511,0.002,11.479,0.003,12.152,0.017,9.164,0.017,12.866,0.002,4.692,0.065,8.882,0.013
9,9,12.759,0.0,12.684,0.001,12.906,0.015,11.427,0.001,13.919,0.001,7.117,0.002,11.464,0.001
10,10,14.43,0.0,14.325,0.001,13.98,0.017,13.591,0.001,14.532,0.001,12.315,0.001,13.907,0.001
11,11,14.921,0.0,14.815,0.001,14.419,0.017,14.815,0.001,14.815,0.001,14.815,0.001,14.815,0.001
