,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.628,0.885,3.887,0.515,4.583,0.474,5.312,0.5,4.816,0.498,1.613,0.603,5.702,0.496
1,1,0.058,0.987,1.622,0.788,2.401,0.711,5.666,0.506,1.985,0.741,0.607,0.746,5.928,0.516
2,2,0.027,0.995,0.767,0.908,1.292,0.847,5.323,0.55,0.831,0.893,1.28,0.687,3.381,0.706
3,3,0.011,0.998,0.553,0.928,0.971,0.877,3.092,0.705,1.048,0.879,1.479,0.604,2.66,0.748
4,4,0.708,0.883,2.885,0.668,5.234,0.467,5.186,0.479,5.819,0.424,2.485,0.501,6.044,0.407
5,5,8.732,0.265,8.827,0.255,10.006,0.21,7.246,0.328,7.458,0.337,4.484,0.39,8.117,0.321
6,6,9.499,0.134,9.762,0.131,11.232,0.08,8.108,0.179,9.635,0.124,5.977,0.223,9.013,0.146
7,7,10.121,0.068,10.375,0.058,10.837,0.058,10.098,0.048,9.751,0.026,8.949,0.101,10.301,0.039
8,8,10.849,0.011,11.074,0.012,11.538,0.035,11.216,0.007,10.027,0.011,10.474,0.008,11.456,0.007
9,9,13.052,0.003,13.086,0.005,12.593,0.026,12.964,0.006,12.589,0.004,11.991,0.008,13.496,0.004
10,10,13.925,0.002,13.872,0.003,13.229,0.029,13.86,0.003,13.549,0.003,13.629,0.003,13.838,0.003
11,11,14.801,0.002,14.724,0.003,13.924,0.029,14.724,0.003,14.724,0.003,14.724,0.003,14.724,0.003
