,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.008,1.0,2.311,0.65,3.952,0.508,3.861,0.531,2.141,0.648,0.926,0.511,5.014,0.503
1,1,0.0,1.0,0.733,0.895,2.134,0.732,2.119,0.719,0.84,0.878,1.03,0.608,2.825,0.673
2,2,0.011,0.999,0.475,0.93,1.478,0.801,2.414,0.714,0.822,0.905,1.0,0.688,2.091,0.754
3,3,0.007,1.0,0.55,0.916,1.908,0.747,3.521,0.597,1.758,0.796,1.573,0.582,2.203,0.727
4,4,0.627,0.872,2.379,0.611,5.827,0.363,5.715,0.428,5.068,0.37,3.042,0.449,5.581,0.4
5,5,4.506,0.422,5.188,0.36,8.055,0.181,5.703,0.333,5.268,0.37,4.473,0.407,5.747,0.333
6,6,5.598,0.235,6.134,0.206,8.673,0.097,6.891,0.161,8.155,0.093,6.883,0.092,6.534,0.175
7,7,6.095,0.127,6.43,0.128,8.596,0.09,8.038,0.041,8.527,0.034,7.636,0.035,7.052,0.07
8,8,7.325,0.034,7.57,0.039,9.266,0.066,8.333,0.012,9.212,0.006,7.834,0.026,8.364,0.008
9,9,9.784,0.002,9.602,0.001,9.821,0.053,9.369,0.005,10.154,0.003,8.107,0.004,9.069,0.003
10,10,11.612,0.0,11.503,0.001,10.913,0.052,11.152,0.002,12.039,0.001,9.399,0.005,11.08,0.002
11,11,13.0,0.0,12.921,0.001,11.718,0.052,12.921,0.001,12.921,0.001,12.921,0.001,12.921,0.001
