,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.001,1.0,0.836,0.847,2.204,0.704,2.772,0.578,0.738,0.842,0.923,0.448,1.602,0.755
1,1,0.0,1.0,0.325,0.95,0.742,0.889,1.596,0.719,0.557,0.895,1.045,0.453,1.208,0.825
2,2,0.005,1.0,0.63,0.909,1.113,0.844,2.998,0.624,1.757,0.766,1.585,0.51,1.468,0.815
3,3,0.011,0.999,1.063,0.859,2.128,0.731,4.256,0.504,2.803,0.668,2.497,0.5,2.938,0.647
4,4,1.934,0.694,4.361,0.405,6.888,0.29,5.307,0.429,4.626,0.387,3.969,0.502,4.856,0.413
5,5,5.044,0.317,6.535,0.211,8.297,0.139,5.119,0.398,4.595,0.396,5.694,0.452,4.637,0.431
6,6,5.626,0.092,6.813,0.067,8.568,0.035,6.081,0.102,7.488,0.075,10.827,0.002,4.679,0.168
7,7,6.039,0.061,7.167,0.042,9.078,0.019,7.534,0.013,9.504,0.007,11.013,0.001,5.661,0.034
8,8,5.474,0.034,6.858,0.018,9.3,0.011,7.251,0.011,9.724,0.004,11.494,0.001,5.474,0.023
9,9,7.396,0.001,8.261,0.001,10.106,0.006,8.003,0.001,10.165,0.001,10.55,0.001,7.165,0.002
10,10,10.564,0.001,10.702,0.001,11.421,0.006,10.139,0.001,11.28,0.001,9.064,0.001,9.489,0.001
11,11,13.036,0.001,12.991,0.001,12.58,0.006,12.991,0.001,12.991,0.001,12.991,0.001,12.991,0.001
