,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.002,1.0,1.844,0.704,3.024,0.588,3.318,0.529,1.822,0.65,0.989,0.485,3.928,0.517
1,1,0.0,1.0,0.618,0.9,1.82,0.75,2.589,0.62,0.796,0.823,1.0,0.485,2.889,0.639
2,2,0.0,1.0,0.466,0.922,1.345,0.808,2.89,0.648,0.668,0.896,1.53,0.474,2.405,0.719
3,3,0.0,1.0,0.497,0.925,1.83,0.762,4.287,0.505,2.834,0.667,2.543,0.496,2.617,0.681
4,4,0.191,0.955,1.859,0.697,5.384,0.398,5.717,0.402,4.424,0.429,4.114,0.498,4.926,0.42
5,5,3.151,0.511,4.496,0.346,7.673,0.177,6.755,0.237,4.278,0.386,5.406,0.492,5.228,0.351
6,6,4.0,0.333,5.319,0.225,8.371,0.096,7.097,0.135,7.57,0.07,10.691,0.005,6.031,0.157
7,7,4.593,0.183,5.592,0.146,8.15,0.087,9.725,0.011,8.675,0.024,11.247,0.001,7.214,0.041
8,8,4.478,0.154,5.489,0.106,8.446,0.071,7.748,0.004,8.82,0.007,11.359,0.001,6.209,0.013
9,9,6.446,0.038,7.046,0.018,9.44,0.053,8.766,0.002,10.623,0.002,10.729,0.001,7.634,0.003
10,10,9.39,0.001,9.613,0.001,10.326,0.053,9.927,0.001,11.159,0.001,10.688,0.001,9.589,0.002
11,11,13.0,0.0,12.93,0.001,11.718,0.052,12.93,0.001,12.93,0.001,12.93,0.001,12.93,0.001
