,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.248,0.747,3.128,0.533,3.293,0.505,3.939,0.447,2.363,0.537,1.249,0.568,3.751,0.425
1,1,0.105,0.98,0.842,0.864,0.88,0.861,2.845,0.627,0.729,0.865,1.239,0.623,1.31,0.818
2,2,0.043,0.995,0.611,0.914,0.49,0.925,1.95,0.738,2.25,0.694,1.873,0.569,1.627,0.786
3,3,0.031,0.995,0.55,0.921,0.543,0.915,2.658,0.651,5.066,0.465,2.594,0.477,2.959,0.629
4,4,1.22,0.813,2.321,0.674,2.437,0.668,2.376,0.66,4.295,0.493,2.518,0.449,3.399,0.581
5,5,2.973,0.604,3.633,0.531,3.65,0.539,3.392,0.573,4.053,0.501,2.885,0.428,3.535,0.55
6,6,3.623,0.501,4.267,0.424,4.262,0.441,3.98,0.524,3.375,0.521,5.715,0.127,3.457,0.53
7,7,3.734,0.505,4.106,0.441,4.15,0.439,3.864,0.472,3.818,0.454,6.352,0.052,3.69,0.435
8,8,4.014,0.454,4.213,0.402,4.278,0.402,4.31,0.394,3.548,0.457,6.886,0.059,4.012,0.452
9,9,6.187,0.05,6.095,0.073,6.134,0.065,5.885,0.076,5.026,0.157,7.818,0.025,5.679,0.102
