,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.14,0.767,3.404,0.482,3.437,0.478,3.912,0.459,2.678,0.512,1.095,0.588,4.224,0.417
1,1,0.278,0.948,2.261,0.666,2.284,0.669,3.7,0.547,2.031,0.654,1.202,0.534,3.494,0.575
2,2,0.041,0.994,0.746,0.889,0.695,0.887,3.699,0.574,1.093,0.834,1.682,0.504,2.262,0.72
3,3,0.031,0.994,0.676,0.893,0.673,0.896,2.239,0.687,4.16,0.544,2.299,0.476,2.657,0.659
4,4,0.212,0.963,1.402,0.797,1.316,0.801,2.777,0.635,4.184,0.516,2.316,0.497,3.088,0.617
5,5,3.739,0.55,4.181,0.519,4.294,0.505,3.99,0.539,3.7,0.507,3.026,0.438,3.851,0.554
6,6,3.529,0.52,4.087,0.463,4.107,0.467,4.072,0.501,3.098,0.537,5.766,0.141,3.595,0.521
7,7,3.635,0.491,3.926,0.451,3.884,0.452,3.68,0.46,3.204,0.449,6.778,0.061,3.36,0.467
8,8,3.783,0.492,3.927,0.433,3.816,0.449,4.26,0.408,2.868,0.473,7.207,0.068,3.928,0.447
9,9,6.013,0.026,5.901,0.057,5.872,0.055,5.615,0.068,4.536,0.133,7.187,0.032,5.426,0.067
10,10,8.301,0.002,7.887,0.029,7.899,0.024,6.938,0.039,6.351,0.047,7.403,0.031,7.386,0.032
11,11,10.717,0.0,10.149,0.027,10.216,0.024,10.149,0.027,10.149,0.027,10.149,0.027,10.149,0.027
