,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.045,0.997,1.547,0.719,1.751,0.693,3.492,0.348,1.389,0.525,3.125,0.444
1,1,0.073,0.993,1.746,0.717,1.862,0.726,3.395,0.474,1.44,0.532,2.934,0.542
2,2,0.195,0.965,1.99,0.699,2.109,0.674,3.093,0.532,1.583,0.619,2.766,0.573
3,3,0.388,0.949,2.075,0.692,2.23,0.683,2.139,0.717,1.784,0.611,2.108,0.698
4,4,0.541,0.918,2.099,0.682,2.208,0.667,1.924,0.724,1.976,0.593,2.062,0.719
5,5,0.97,0.865,2.054,0.691,2.198,0.67,2.069,0.717,1.996,0.603,2.082,0.716
6,6,1.43,0.809,2.087,0.701,2.244,0.676,2.189,0.708,2.356,0.485,2.105,0.697
7,7,1.666,0.778,2.201,0.673,2.366,0.664,2.129,0.718,2.62,0.469,2.18,0.7
8,8,1.834,0.774,2.19,0.684,2.35,0.682,2.132,0.723,2.363,0.573,2.076,0.719
9,9,2.172,0.709,2.45,0.617,2.603,0.607,2.209,0.703,2.841,0.517,2.183,0.697
10,10,3.414,0.388,3.405,0.415,3.625,0.381,2.999,0.455,3.327,0.428,2.894,0.472
11,11,5.574,0.274,5.442,0.294,5.618,0.291,5.442,0.294,5.442,0.294,5.442,0.294
