,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.059,0.99,0.332,0.937,0.74,0.866,1.112,0.788,0.509,0.901,2.065,0.61,1.033,0.817
1,1,0.101,0.983,0.377,0.93,0.721,0.865,1.744,0.686,2.223,0.619,2.469,0.545,1.432,0.745
2,2,1.104,0.817,1.592,0.72,2.47,0.577,2.982,0.501,2.653,0.556,3.031,0.492,2.837,0.525
3,3,2.999,0.504,3.368,0.442,4.095,0.322,3.714,0.382,3.025,0.495,3.937,0.343,3.644,0.394
4,4,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
5,5,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
6,6,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
7,7,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
8,8,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
9,9,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
10,10,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
11,11,6.185,0.0,6.138,0.004,6.002,0.025,6.138,0.004,6.138,0.004,6.138,0.004,6.138,0.004
