,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.385,0.908,1.207,0.664,1.443,0.603,2.15,0.405,2.306,0.371,2.278,0.381
1,1,0.338,0.92,1.104,0.697,1.38,0.631,1.634,0.554,1.624,0.566,1.918,0.491
2,2,0.333,0.922,1.146,0.686,1.46,0.612,1.614,0.551,2.18,0.401,1.401,0.599
3,3,0.848,0.792,1.179,0.686,1.53,0.607,1.322,0.65,1.231,0.674,1.555,0.59
4,4,0.745,0.812,1.3,0.64,1.663,0.555,1.254,0.643,1.48,0.575,1.381,0.619
5,5,0.697,0.834,1.087,0.702,1.466,0.602,0.893,0.758,1.407,0.609,0.979,0.737
6,6,0.856,0.773,1.432,0.57,1.716,0.501,1.345,0.596,1.615,0.511,1.284,0.619
7,7,1.788,0.53,2.107,0.409,2.283,0.37,2.133,0.39,2.824,0.231,2.076,0.417
8,8,1.741,0.465,1.987,0.401,2.09,0.359,2.19,0.303,2.14,0.296,1.889,0.384
9,9,2.288,0.339,2.39,0.325,2.353,0.321,2.163,0.363,2.929,0.161,2.257,0.353
10,10,3.495,0.118,3.517,0.111,3.262,0.166,3.517,0.111,3.517,0.111,3.517,0.111
11,11,3.495,0.118,3.517,0.111,3.262,0.166,3.517,0.111,3.517,0.111,3.517,0.111
