,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.802,0.497,0.803,0.496,0.816,0.489,0.818,0.492,0.766,0.501,0.841,0.489,0.815,0.492
1,1,0.818,0.497,0.822,0.494,0.829,0.487,0.837,0.491,0.824,0.492,0.843,0.492,0.839,0.493
2,2,0.826,0.494,0.83,0.493,0.836,0.486,0.841,0.493,0.838,0.492,0.841,0.493,0.84,0.492
3,3,0.826,0.493,0.83,0.493,0.836,0.486,0.839,0.492,0.834,0.491,0.842,0.492,0.84,0.491
4,4,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
5,5,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
6,6,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
7,7,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
8,8,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
9,9,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
10,10,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
11,11,0.83,0.493,0.834,0.492,0.841,0.483,0.834,0.492,0.834,0.492,0.834,0.492,0.834,0.492
