,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,5.22,0.499,5.234,0.498,5.212,0.492,5.284,0.5,5.144,0.5,5.192,0.508
1,1,5.432,0.507,5.435,0.491,5.45,0.491,5.431,0.49,5.433,0.492,5.431,0.492
2,2,5.329,0.506,5.344,0.494,5.339,0.496,5.362,0.495,5.397,0.49,5.37,0.495
3,3,5.376,0.509,5.382,0.488,5.395,0.487,5.321,0.488,5.15,0.484,5.328,0.488
4,4,5.381,0.509,5.385,0.489,5.4,0.488,5.344,0.489,5.16,0.485,5.34,0.49
5,5,5.391,0.507,5.391,0.489,5.415,0.489,5.346,0.492,5.229,0.492,5.366,0.491
6,6,5.39,0.507,5.388,0.489,5.412,0.49,5.354,0.49,5.245,0.491,5.368,0.492
7,7,5.39,0.507,5.387,0.489,5.411,0.489,5.352,0.491,5.269,0.49,5.351,0.491
8,8,5.391,0.506,5.386,0.488,5.411,0.489,5.338,0.489,5.3,0.49,5.356,0.49
9,9,5.392,0.506,5.385,0.489,5.409,0.491,5.338,0.491,5.318,0.49,5.346,0.49
10,10,5.397,0.506,5.387,0.49,5.411,0.489,5.362,0.491,5.344,0.489,5.368,0.489
11,11,5.44,0.506,5.438,0.49,5.459,0.488,5.438,0.49,5.438,0.49,5.438,0.49
