,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,5.772,0.496,5.393,0.523,5.713,0.495,5.339,0.534,5.246,0.524,5.09,0.536
1,1,6.129,0.471,5.662,0.513,5.955,0.492,5.603,0.515,5.551,0.509,5.607,0.514
2,2,6.183,0.471,5.685,0.515,6.002,0.49,5.648,0.51,5.599,0.513,5.639,0.512
3,3,6.211,0.472,5.708,0.513,6.029,0.491,5.687,0.514,5.629,0.515,5.673,0.513
4,4,6.224,0.472,5.718,0.514,6.04,0.491,5.701,0.514,5.648,0.515,5.687,0.514
5,5,6.233,0.471,5.727,0.514,6.051,0.492,5.717,0.514,5.675,0.515,5.704,0.514
6,6,6.232,0.471,5.726,0.514,6.05,0.491,5.704,0.515,5.67,0.515,5.691,0.515
7,7,6.231,0.47,5.725,0.514,6.049,0.491,5.691,0.515,5.672,0.514,5.695,0.514
8,8,6.229,0.47,5.723,0.514,6.049,0.491,5.679,0.514,5.673,0.514,5.696,0.514
9,9,6.233,0.47,5.727,0.515,6.053,0.492,5.715,0.515,5.687,0.514,5.703,0.514
10,10,6.237,0.47,5.73,0.514,6.058,0.491,5.712,0.515,5.7,0.514,5.716,0.515
11,11,6.278,0.472,5.77,0.515,6.097,0.491,5.77,0.515,5.77,0.515,5.77,0.515
