,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.52825,0.561,0.28375,0.47325,0.09425
1,1,0.560375,0.61225,0.44525,0.502,0.3885
2,2,0.734625,0.75575,0.485,0.59625,0.37375
3,3,0.78075,0.82825,0.202375,0.199,0.20575
4,4,0.929875,0.9585,0.185,0.142,0.228
5,5,0.966625,0.98575,0.03075,0.0345,0.027
6,6,0.990375,0.99825,0.0065,0.00775,0.00525
7,7,0.994125,0.999875,0.0085,0.01075,0.00625
8,8,0.993,1.0,0.011125,0.0115,0.01075
9,9,0.992125,1.0,0.013875,0.01375,0.014
10,10,0.99225,1.0,0.014625,0.01475,0.0145
11,11,0.991875,1.0,0.01475,0.01475,0.01475
