,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.52825,0.561,0.0345,0.01525,0.05375
1,1,0.560375,0.61225,0.31275,0.4485,0.177
2,2,0.734625,0.75575,0.342625,0.31475,0.3705
3,3,0.78075,0.82825,0.746875,0.79775,0.696
4,4,0.929875,0.9585,0.711875,0.8195,0.60425
5,5,0.966625,0.98575,0.937,0.95725,0.91675
6,6,0.990375,0.99825,0.985875,0.98075,0.991
7,7,0.994125,0.999875,0.717375,0.674,0.76075
8,8,0.993,1.0,0.031,0.032,0.03
9,9,0.992125,1.0,0.015,0.015,0.015
10,10,0.99225,1.0,0.01475,0.01475,0.01475
11,11,0.991875,1.0,0.01475,0.01475,0.01475
