,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.522,0.753,4.466,0.487,4.403,0.486,4.754,0.47,5.284,0.5,4.611,0.504,1.468,0.495,4.953,0.5
1,1,1.176,0.811,4.442,0.488,4.578,0.478,4.933,0.467,5.297,0.5,2.524,0.638,1.424,0.472,4.956,0.503
2,2,1.199,0.83,4.849,0.459,4.896,0.467,5.37,0.435,5.612,0.499,1.708,0.74,1.836,0.506,5.594,0.514
3,3,2.098,0.713,5.14,0.443,5.244,0.451,5.631,0.415,5.061,0.491,3.172,0.556,2.691,0.499,4.954,0.523
4,4,5.665,0.454,7.63,0.322,7.854,0.285,8.083,0.286,4.517,0.346,2.98,0.467,2.751,0.466,5.553,0.312
5,5,8.845,0.213,9.865,0.173,10.243,0.146,10.462,0.15,6.165,0.329,5.658,0.425,4.726,0.365,6.414,0.354
6,6,9.728,0.071,10.296,0.063,10.526,0.051,11.067,0.05,7.651,0.175,8.12,0.141,9.589,0.025,7.439,0.181
7,7,9.987,0.034,10.521,0.033,10.506,0.028,11.315,0.035,8.844,0.038,11.141,0.015,10.5,0.004,8.623,0.042
8,8,9.461,0.006,9.928,0.005,10.075,0.009,11.272,0.023,8.389,0.018,11.616,0.004,10.653,0.001,7.104,0.035
9,9,10.899,0.0,11.204,0.001,11.268,0.001,11.84,0.015,11.13,0.001,13.735,0.001,9.179,0.001,9.333,0.001
10,10,12.62,0.001,12.694,0.001,12.628,0.001,12.928,0.017,11.653,0.001,13.494,0.001,9.118,0.002,11.554,0.001
11,11,14.922,0.0,14.853,0.001,14.868,0.001,14.429,0.017,14.868,0.001,14.868,0.001,14.868,0.001,14.868,0.001
