,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,3.37,0.565,6.384,0.5,6.306,0.5,6.351,0.5,3.328,0.526,1.654,0.662,1.864,0.503,3.978,0.516
1,1,3.694,0.593,6.236,0.5,6.181,0.496,6.207,0.497,3.38,0.545,2.191,0.646,2.942,0.502,3.401,0.527
2,2,3.642,0.661,6.501,0.464,6.48,0.458,6.355,0.464,4.252,0.544,2.514,0.671,4.033,0.499,4.417,0.542
3,3,4.62,0.594,6.663,0.455,6.762,0.442,6.629,0.452,5.031,0.518,4.162,0.56,4.325,0.5,4.874,0.498
4,4,3.958,0.598,6.066,0.432,6.015,0.427,6.004,0.43,5.262,0.479,4.162,0.5,5.31,0.5,4.574,0.475
5,5,5.009,0.496,6.185,0.41,6.121,0.415,6.252,0.399,5.762,0.495,4.404,0.5,5.446,0.5,5.184,0.49
6,6,8.895,0.209,10.209,0.141,10.263,0.138,10.397,0.128,8.132,0.293,5.644,0.466,6.033,0.496,7.206,0.308
7,7,11.381,0.074,12.104,0.042,11.927,0.044,12.043,0.042,10.729,0.085,10.89,0.052,9.287,0.048,10.389,0.075
8,8,11.731,0.009,12.327,0.006,12.271,0.009,12.38,0.009,11.658,0.006,11.292,0.007,11.768,0.009,10.977,0.004
9,9,12.978,0.002,13.277,0.004,13.185,0.004,13.245,0.006,13.28,0.003,12.516,0.003,11.051,0.004,12.963,0.003
10,10,14.144,0.001,14.078,0.002,14.055,0.002,14.082,0.005,14.149,0.002,14.139,0.002,11.999,0.002,14.102,0.002
11,11,14.8,0.001,14.693,0.002,14.667,0.002,14.668,0.005,14.667,0.002,14.667,0.002,14.667,0.002,14.667,0.002
