,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.027,0.997,2.938,0.611,2.897,0.608,3.579,0.566,2.292,0.581,1.435,0.7,3.188,0.5,2.428,0.599
1,1,0.0,1.0,0.673,0.885,0.595,0.896,1.36,0.797,2.313,0.623,1.799,0.699,2.845,0.502,2.21,0.656
2,2,0.0,1.0,0.207,0.96,0.155,0.97,0.456,0.923,2.394,0.681,0.381,0.934,2.807,0.5,1.802,0.762
3,3,0.0,1.0,0.191,0.964,0.112,0.976,0.389,0.93,2.351,0.691,0.628,0.887,3.401,0.476,2.14,0.741
4,4,0.0,1.0,0.29,0.948,0.25,0.947,0.829,0.858,2.983,0.582,1.312,0.774,3.79,0.5,2.557,0.673
5,5,0.081,0.991,1.356,0.764,1.379,0.758,3.779,0.483,4.351,0.457,3.23,0.495,4.378,0.5,3.705,0.49
6,6,4.052,0.449,5.425,0.28,5.396,0.286,8.444,0.11,6.606,0.277,4.902,0.392,4.717,0.5,5.59,0.33
7,7,6.115,0.092,6.84,0.07,6.914,0.069,8.904,0.042,6.858,0.102,5.874,0.19,5.333,0.352,6.258,0.123
8,8,7.27,0.011,8.101,0.005,8.021,0.005,9.529,0.009,8.099,0.026,6.134,0.056,8.48,0.018,7.355,0.038
9,9,8.726,0.001,9.236,0.0,9.111,0.0,10.464,0.015,10.287,0.0,10.903,0.0,9.781,0.001,10.24,0.0
10,10,10.783,0.001,10.914,0.0,10.836,0.0,10.931,0.014,11.18,0.0,11.201,0.0,9.804,0.001,10.97,0.0
11,11,12.187,0.001,12.183,0.0,12.15,0.0,11.583,0.013,12.15,0.0,12.15,0.0,12.15,0.0,12.15,0.0
