,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.229,0.812,3.865,0.56,3.805,0.566,5.26,0.508,3.773,0.542,3.791,0.57,1.22,0.548,3.818,0.584
1,1,0.796,0.889,3.321,0.596,3.454,0.591,5.118,0.512,4.308,0.55,3.159,0.636,1.386,0.54,3.657,0.634
2,2,0.672,0.915,3.684,0.605,3.621,0.609,5.689,0.498,4.31,0.619,2.566,0.74,1.828,0.52,3.489,0.696
3,3,0.73,0.918,3.306,0.662,3.202,0.669,5.562,0.529,3.817,0.676,3.434,0.688,2.754,0.505,3.657,0.697
4,4,2.234,0.684,3.09,0.59,3.016,0.591,5.04,0.521,2.617,0.583,2.111,0.593,2.994,0.482,2.28,0.61
5,5,4.131,0.644,4.715,0.586,4.694,0.592,6.018,0.515,4.671,0.588,4.893,0.536,4.315,0.459,4.527,0.598
6,6,3.845,0.582,4.571,0.525,4.661,0.515,6.368,0.428,5.053,0.508,4.001,0.557,8.153,0.089,4.149,0.549
7,7,4.103,0.499,4.72,0.425,4.687,0.423,6.51,0.357,4.943,0.462,3.476,0.504,9.595,0.052,4.173,0.492
8,8,4.894,0.488,5.304,0.416,5.291,0.425,6.429,0.377,5.597,0.497,3.623,0.49,11.161,0.046,5.198,0.524
9,9,6.269,0.271,6.651,0.219,6.594,0.245,7.428,0.203,6.349,0.263,4.616,0.354,11.286,0.042,5.94,0.428
10,10,8.593,0.052,8.937,0.044,8.832,0.048,9.411,0.026,8.468,0.046,7.186,0.062,11.51,0.043,8.038,0.048
11,11,13.447,0.045,13.55,0.037,13.495,0.042,13.79,0.019,13.495,0.042,13.495,0.042,13.495,0.042,13.495,0.042
