,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.884,0.89,3.482,0.624,3.47,0.621,5.314,0.521,4.275,0.557,4.339,0.568,1.227,0.528,4.296,0.588
1,1,0.326,0.967,2.071,0.785,2.006,0.783,4.5,0.614,4.193,0.587,1.817,0.77,1.435,0.536,3.567,0.679
2,2,0.083,0.993,1.084,0.885,1.066,0.897,2.454,0.766,4.918,0.578,2.514,0.728,1.998,0.558,2.934,0.735
3,3,0.071,0.994,0.951,0.906,0.904,0.906,2.166,0.786,3.109,0.693,5.384,0.554,2.601,0.537,2.504,0.765
4,4,2.152,0.695,3.197,0.585,3.145,0.599,5.295,0.495,2.881,0.564,2.255,0.57,2.841,0.492,3.029,0.583
5,5,4.279,0.629,5.077,0.561,5.214,0.557,6.584,0.47,4.882,0.594,5.398,0.519,4.116,0.465,4.6,0.598
6,6,3.807,0.561,4.638,0.492,4.751,0.484,6.577,0.41,5.183,0.516,4.519,0.5,7.991,0.112,4.231,0.539
7,7,3.207,0.517,4.017,0.413,4.089,0.417,6.29,0.336,4.887,0.452,3.363,0.488,9.187,0.07,4.307,0.453
8,8,4.229,0.534,4.714,0.453,4.814,0.457,6.147,0.394,5.259,0.497,3.209,0.488,10.767,0.055,4.757,0.528
9,9,5.704,0.196,6.043,0.172,6.115,0.194,7.121,0.141,6.139,0.233,4.107,0.345,11.031,0.053,5.693,0.41
10,10,8.387,0.042,8.612,0.048,8.557,0.054,9.335,0.028,8.328,0.054,6.701,0.064,11.324,0.054,7.777,0.058
11,11,13.513,0.042,13.399,0.046,13.327,0.054,13.663,0.026,13.327,0.054,13.327,0.054,13.327,0.054,13.327,0.054
