,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.647,0.934,4.496,0.53,4.44,0.545,4.519,0.537,3.32,0.515,2.06,0.661,2.626,0.483,2.603,0.62
1,1,0.042,0.997,0.946,0.878,0.968,0.879,1.023,0.864,1.927,0.764,1.824,0.791,2.768,0.486,1.429,0.834
2,2,0.015,0.999,0.566,0.92,0.53,0.929,0.584,0.92,2.351,0.727,1.852,0.782,3.035,0.473,1.143,0.852
3,3,0.022,0.998,0.742,0.901,0.902,0.878,0.792,0.892,4.599,0.558,5.772,0.495,2.912,0.492,3.886,0.599
4,4,0.049,0.996,1.153,0.848,1.321,0.827,1.226,0.838,4.768,0.551,5.894,0.494,2.989,0.485,4.1,0.596
5,5,2.228,0.812,3.848,0.603,4.03,0.586,4.038,0.584,4.95,0.543,5.322,0.505,2.815,0.473,4.623,0.576
6,6,2.918,0.707,4.737,0.492,5.019,0.459,4.913,0.478,5.116,0.509,4.747,0.488,3.167,0.433,4.942,0.507
7,7,4.371,0.569,5.29,0.472,5.384,0.467,5.297,0.475,5.532,0.458,4.569,0.481,4.764,0.256,5.201,0.448
8,8,5.155,0.521,5.282,0.495,5.437,0.488,5.39,0.491,5.467,0.496,4.293,0.469,6.426,0.148,5.05,0.465
9,9,6.538,0.442,6.32,0.426,6.395,0.417,6.378,0.418,6.13,0.431,5.159,0.427,7.729,0.036,6.123,0.446
10,10,8.257,0.036,8.004,0.048,8.069,0.051,8.134,0.046,7.987,0.036,6.788,0.155,10.331,0.02,7.694,0.054
11,11,12.904,0.0,12.344,0.019,12.413,0.019,12.382,0.019,12.413,0.019,12.413,0.019,12.413,0.019,12.413,0.019
