,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.278,0.887,5.282,0.526,5.15,0.533,5.958,0.499,3.332,0.587,2.356,0.685,2.383,0.563,3.793,0.584
1,1,0.468,0.959,4.406,0.549,4.358,0.553,5.602,0.514,1.75,0.781,2.139,0.768,2.256,0.571,1.504,0.823
2,2,0.387,0.964,3.93,0.568,3.839,0.582,5.41,0.508,2.408,0.745,2.958,0.717,3.089,0.541,1.377,0.858
3,3,0.455,0.96,3.763,0.578,3.933,0.561,5.375,0.501,3.445,0.668,2.299,0.766,3.115,0.535,2.106,0.792
4,4,0.792,0.937,3.869,0.587,3.732,0.601,6.015,0.473,3.119,0.694,3.287,0.669,3.311,0.523,3.029,0.717
5,5,1.812,0.796,4.526,0.49,4.507,0.477,6.306,0.423,4.559,0.544,3.453,0.521,3.547,0.512,3.745,0.576
6,6,2.241,0.654,3.668,0.484,3.784,0.46,5.895,0.417,3.834,0.522,2.833,0.534,4.79,0.362,3.225,0.53
7,7,3.306,0.611,4.549,0.475,4.538,0.451,6.305,0.412,4.388,0.503,3.272,0.493,7.642,0.129,3.749,0.498
8,8,4.596,0.59,5.031,0.499,5.159,0.482,6.373,0.426,5.029,0.513,4.171,0.483,9.892,0.068,4.483,0.548
9,9,6.702,0.176,7.216,0.129,7.239,0.143,8.109,0.096,6.875,0.163,5.486,0.23,10.072,0.05,6.251,0.252
10,10,10.45,0.048,10.59,0.043,10.547,0.049,11.297,0.021,9.589,0.054,8.743,0.052,10.986,0.051,9.268,0.052
11,11,13.406,0.047,13.402,0.042,13.31,0.051,13.804,0.02,13.31,0.051,13.31,0.051,13.31,0.051,13.31,0.051
