,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.273,0.961,2.138,0.684,2.228,0.678,4.571,0.299,1.203,0.576,3.736,0.381
1,1,0.376,0.952,2.259,0.682,2.367,0.659,4.326,0.318,1.418,0.54,3.689,0.414
2,2,0.107,0.987,1.347,0.791,1.629,0.735,4.692,0.362,2.783,0.325,3.423,0.521
3,3,0.839,0.903,2.108,0.72,2.348,0.679,3.341,0.523,3.151,0.31,3.019,0.569
4,4,1.183,0.863,2.281,0.69,2.514,0.653,2.418,0.655,2.512,0.323,2.742,0.622
5,5,1.516,0.825,2.449,0.669,2.499,0.663,2.088,0.725,2.352,0.474,2.211,0.698
6,6,1.816,0.768,2.507,0.629,2.673,0.616,2.218,0.711,4.428,0.14,2.069,0.711
7,7,1.919,0.739,2.522,0.635,2.466,0.631,2.181,0.708,5.353,0.074,2.074,0.708
8,8,2.049,0.707,2.494,0.594,2.446,0.563,2.244,0.648,4.97,0.064,2.367,0.59
9,9,3.944,0.053,4.323,0.036,4.212,0.055,4.047,0.069,4.416,0.069,3.925,0.081
10,10,5.992,0.014,6.181,0.014,6.052,0.018,5.43,0.015,6.112,0.012,5.546,0.015
11,11,8.773,0.013,8.82,0.011,8.742,0.013,8.82,0.011,8.82,0.011,8.82,0.011
