,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.242,0.965,1.552,0.759,2.176,0.659,3.618,0.424,1.119,0.596,3.476,0.425
1,1,0.111,0.985,1.252,0.784,2.038,0.672,3.524,0.448,0.932,0.721,3.993,0.399
2,2,0.01,0.999,0.867,0.847,1.648,0.727,3.161,0.517,0.792,0.72,2.057,0.668
3,3,0.047,0.994,0.885,0.844,1.821,0.718,3.069,0.525,2.355,0.487,1.605,0.736
4,4,0.068,0.989,1.245,0.763,2.084,0.658,1.368,0.697,2.475,0.441,1.187,0.729
5,5,0.403,0.935,1.329,0.742,2.08,0.663,1.113,0.775,2.781,0.429,1.303,0.745
6,6,0.897,0.862,1.697,0.682,2.445,0.586,1.443,0.725,4.789,0.144,1.234,0.759
7,7,0.944,0.84,1.703,0.65,2.378,0.559,1.302,0.748,4.633,0.064,1.302,0.759
8,8,1.885,0.672,2.389,0.532,2.767,0.463,2.344,0.461,4.879,0.056,1.966,0.59
9,9,3.96,0.124,4.457,0.102,4.519,0.116,3.882,0.102,4.513,0.08,3.785,0.087
10,10,6.483,0.029,6.693,0.025,6.476,0.063,6.477,0.031,5.511,0.038,6.192,0.029
11,11,8.506,0.018,8.444,0.024,7.973,0.057,8.444,0.024,8.444,0.024,8.444,0.024
