,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.25,0.24675,0.25325
1,1,0.485125,0.5875,0.24675,0.24225,0.25125
2,2,0.67125,0.750875,0.431875,0.43475,0.429
3,3,0.795875,0.910625,0.568125,0.499,0.63725
4,4,0.935375,0.97525,0.423125,0.39425,0.452
5,5,0.948875,0.980375,0.317625,0.30275,0.3325
6,6,0.9385,0.983125,0.264,0.26025,0.26775
7,7,0.933125,0.98075,0.252875,0.25075,0.255
8,8,0.952125,0.9865,0.246375,0.24525,0.2475
9,9,0.931125,0.985875,0.239,0.23775,0.24025
10,10,0.9435,0.98725,0.239625,0.23875,0.2405
11,11,0.94625,0.982875,0.24,0.24,0.24
