,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.532125,0.567875,0.167125,0.164,0.17025
1,1,0.4915,0.6035,0.160125,0.151,0.16925
2,2,0.6065,0.829875,0.086875,0.11225,0.0615
3,3,0.8575,0.960125,0.075875,0.1115,0.04025
4,4,0.8985,0.982375,0.083875,0.11525,0.0525
5,5,0.95725,0.992,0.103375,0.1225,0.08425
6,6,0.970375,0.996875,0.13075,0.1385,0.123
7,7,0.969375,0.995875,0.1395,0.1455,0.1335
8,8,0.973375,0.99575,0.146875,0.14975,0.144
9,9,0.97275,0.99725,0.15275,0.15475,0.15075
10,10,0.966875,0.99,0.155125,0.15675,0.1535
11,11,0.9705,0.99475,0.1565,0.1565,0.1565
