,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.532125,0.567875,0.209375,0.19925,0.2195
1,1,0.4915,0.6035,0.18325,0.15725,0.20925
2,2,0.6065,0.829875,0.078625,0.10925,0.048
3,3,0.8575,0.960125,0.076,0.11375,0.03825
4,4,0.8985,0.982375,0.074875,0.108,0.04175
5,5,0.95725,0.992,0.07975,0.1095,0.05
6,6,0.970375,0.996875,0.110625,0.12825,0.093
7,7,0.969375,0.995875,0.125875,0.14,0.11175
8,8,0.973375,0.99575,0.139125,0.1465,0.13175
9,9,0.97275,0.99725,0.15,0.154,0.146
10,10,0.966875,0.99,0.154,0.156,0.152
11,11,0.9705,0.99475,0.1565,0.1565,0.1565
