,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.532125,0.567875,0.194,0.16475,0.22325
1,1,0.4915,0.6035,0.20775,0.19875,0.21675
2,2,0.6065,0.829875,0.61575,0.62675,0.60475
3,3,0.8575,0.960125,0.839875,0.7515,0.92825
4,4,0.8985,0.982375,0.611625,0.52125,0.702
5,5,0.95725,0.992,0.365125,0.33125,0.399
6,6,0.970375,0.996875,0.239875,0.2265,0.25325
7,7,0.969375,0.995875,0.208375,0.20025,0.2165
8,8,0.973375,0.99575,0.183125,0.176,0.19025
9,9,0.97275,0.99725,0.163375,0.15925,0.1675
10,10,0.966875,0.99,0.159375,0.157,0.16175
11,11,0.9705,0.99475,0.1565,0.1565,0.1565
