,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.038,0.988,0.82,0.799,0.923,0.771,0.865,0.789,3.245,0.503,0.842,0.664,0.805,0.589,3.239,0.531
1,1,0.01,0.997,0.591,0.866,0.651,0.853,0.591,0.873,4.804,0.5,1.413,0.671,0.788,0.574,3.034,0.618
2,2,0.006,0.999,0.563,0.876,0.62,0.865,0.573,0.874,5.05,0.518,1.043,0.769,0.994,0.571,1.937,0.69
3,3,0.04,0.989,1.045,0.773,1.013,0.78,1.079,0.757,3.62,0.471,3.025,0.528,1.058,0.528,4.111,0.482
4,4,3.582,0.348,4.664,0.281,4.719,0.27,4.773,0.269,5.264,0.227,3.675,0.302,2.289,0.451,5.3,0.236
5,5,5.024,0.202,5.68,0.18,5.792,0.179,5.823,0.153,5.111,0.186,4.372,0.211,3.606,0.459,5.126,0.194
6,6,5.312,0.181,5.839,0.168,5.958,0.154,5.927,0.148,6.071,0.166,4.35,0.198,4.287,0.314,5.938,0.169
7,7,5.778,0.152,6.1,0.151,6.229,0.141,6.209,0.138,6.32,0.141,5.136,0.151,5.172,0.2,6.143,0.16
8,8,6.183,0.123,6.349,0.134,6.545,0.122,6.506,0.119,6.464,0.111,5.159,0.11,5.989,0.103,5.994,0.116
9,9,6.806,0.12,6.88,0.132,7.036,0.122,6.998,0.114,7.164,0.099,6.819,0.106,6.518,0.103,6.883,0.103
10,10,7.599,0.111,7.532,0.128,7.665,0.119,7.664,0.114,8.126,0.096,8.256,0.105,7.113,0.091,8.117,0.096
11,11,9.416,0.082,9.145,0.095,9.274,0.089,9.332,0.084,9.274,0.089,9.274,0.089,9.274,0.089,9.274,0.089
