,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.462,0.837,1.83,0.491,1.883,0.482,1.85,0.477,2.95,0.5,2.152,0.517,1.041,0.514,3.45,0.5
1,1,0.453,0.846,2.463,0.523,2.696,0.506,2.643,0.52,4.646,0.5,2.252,0.586,0.9,0.542,4.89,0.514
2,2,0.256,0.907,2.069,0.61,2.22,0.593,2.154,0.599,4.945,0.522,3.4,0.568,1.143,0.519,4.329,0.537
3,3,0.63,0.812,2.628,0.551,2.698,0.55,2.604,0.55,4.23,0.425,4.419,0.504,1.408,0.472,5.398,0.424
4,4,4.515,0.25,5.597,0.2,5.7,0.199,5.694,0.197,4.265,0.249,4.036,0.239,2.404,0.459,4.807,0.239
5,5,5.478,0.182,6.065,0.169,6.143,0.168,6.157,0.166,4.882,0.224,4.294,0.218,3.489,0.383,4.902,0.223
6,6,5.802,0.154,6.265,0.148,6.461,0.144,6.464,0.135,5.765,0.178,4.768,0.162,4.387,0.316,5.642,0.179
7,7,6.071,0.139,6.394,0.145,6.584,0.136,6.537,0.126,6.23,0.141,4.789,0.155,5.139,0.213,6.02,0.145
8,8,6.427,0.119,6.616,0.125,6.838,0.119,6.76,0.111,6.408,0.121,5.286,0.124,5.813,0.114,6.242,0.112
9,9,6.943,0.115,7.02,0.126,7.202,0.117,7.134,0.111,7.105,0.102,6.649,0.101,6.597,0.106,6.866,0.104
10,10,7.691,0.107,7.633,0.129,7.782,0.114,7.763,0.114,8.026,0.098,8.115,0.107,7.082,0.094,7.874,0.099
11,11,9.416,0.082,9.145,0.095,9.274,0.089,9.332,0.084,9.274,0.089,9.274,0.089,9.274,0.089,9.274,0.089
