,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.395,0.868,2.187,0.507,2.159,0.504,2.637,0.47,3.538,0.502,1.701,0.564,0.767,0.582,3.9,0.503
1,1,0.617,0.831,3.038,0.517,3.102,0.507,3.648,0.473,4.784,0.5,1.314,0.683,1.129,0.549,4.339,0.542
2,2,0.675,0.799,3.047,0.499,3.041,0.497,3.832,0.461,3.977,0.533,3.203,0.561,1.26,0.513,4.011,0.537
3,3,1.767,0.543,4.253,0.305,4.34,0.304,5.17,0.298,3.253,0.441,3.202,0.492,1.464,0.427,4.333,0.415
4,4,4.986,0.21,6.117,0.164,6.15,0.145,7.063,0.143,3.193,0.404,4.651,0.338,1.871,0.325,3.422,0.398
5,5,6.215,0.131,7.027,0.122,7.007,0.107,7.906,0.104,4.438,0.316,6.281,0.182,2.9,0.305,4.438,0.32
6,6,6.717,0.085,7.399,0.069,7.379,0.068,8.012,0.09,4.849,0.21,5.998,0.125,3.095,0.234,4.968,0.204
7,7,7.178,0.06,7.77,0.053,7.82,0.051,8.203,0.076,5.868,0.11,6.085,0.07,4.73,0.249,6.019,0.093
8,8,7.37,0.05,7.871,0.042,7.824,0.036,8.09,0.071,5.885,0.056,7.071,0.048,4.18,0.076,6.096,0.051
9,9,8.235,0.038,8.582,0.037,8.582,0.034,8.658,0.065,7.09,0.045,8.017,0.027,5.573,0.048,6.906,0.051
10,10,9.049,0.025,9.242,0.026,9.264,0.026,9.127,0.062,8.673,0.024,9.359,0.025,7.13,0.029,8.467,0.024
11,11,11.17,0.017,11.116,0.015,11.163,0.017,10.615,0.052,11.163,0.017,11.163,0.017,11.163,0.017,11.163,0.017
