,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.042,0.996,1.944,0.65,1.877,0.675,3.582,0.387,1.633,0.545,3.46,0.419
1,1,0.115,0.981,2.409,0.649,2.298,0.657,4.684,0.388,1.624,0.616,4.934,0.362
2,2,0.204,0.97,2.305,0.658,2.233,0.659,3.495,0.512,2.199,0.617,3.524,0.497
3,3,0.352,0.947,2.424,0.638,2.286,0.641,2.282,0.687,1.575,0.718,2.407,0.653
4,4,0.829,0.895,2.426,0.646,2.355,0.669,2.064,0.708,1.821,0.696,2.222,0.694
5,5,1.073,0.868,2.483,0.65,2.332,0.672,2.175,0.712,2.224,0.642,2.33,0.688
6,6,1.274,0.827,2.46,0.641,2.271,0.668,2.26,0.688,2.31,0.511,2.188,0.69
7,7,1.612,0.778,2.528,0.633,2.376,0.657,2.357,0.695,2.624,0.445,2.384,0.687
8,8,1.82,0.759,2.496,0.634,2.342,0.639,2.334,0.679,2.816,0.412,2.408,0.668
9,9,2.217,0.694,2.703,0.6,2.667,0.588,2.415,0.639,2.896,0.486,2.411,0.666
10,10,3.234,0.431,3.528,0.398,3.449,0.398,3.338,0.383,3.488,0.391,3.24,0.414
11,11,5.427,0.307,5.471,0.3,5.477,0.295,5.471,0.3,5.471,0.3,5.471,0.3
