,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.361,0.865,1.854,0.515,1.767,0.522,1.834,0.514,1.623,0.52,1.619,0.547,1.526,0.524,1.845,0.497
1,1,0.11,0.961,1.41,0.716,1.412,0.714,1.423,0.716,1.553,0.596,2.603,0.541,1.955,0.52,2.364,0.565
2,2,0.139,0.953,1.606,0.69,1.656,0.685,1.621,0.688,2.85,0.536,2.272,0.608,1.72,0.528,2.522,0.571
3,3,0.344,0.878,2.349,0.549,2.39,0.539,2.431,0.524,2.709,0.556,1.944,0.577,1.838,0.5,2.927,0.538
4,4,0.787,0.743,2.724,0.471,2.733,0.461,2.811,0.459,3.097,0.543,2.449,0.532,2.012,0.467,3.05,0.525
5,5,1.39,0.611,2.885,0.424,2.949,0.429,3.011,0.424,3.66,0.486,2.549,0.503,2.827,0.412,3.522,0.467
6,6,1.681,0.541,2.968,0.403,3.012,0.394,3.007,0.407,3.967,0.448,2.333,0.491,3.35,0.358,3.418,0.443
7,7,2.123,0.478,3.157,0.373,3.127,0.378,3.174,0.396,3.973,0.42,2.734,0.434,2.836,0.352,3.37,0.434
8,8,2.592,0.437,3.253,0.362,3.165,0.379,3.217,0.375,3.824,0.389,2.733,0.434,2.877,0.372,3.118,0.426
9,9,3.691,0.321,3.99,0.304,3.942,0.305,3.993,0.317,4.302,0.311,3.488,0.321,3.491,0.276,3.97,0.327
10,10,5.064,0.205,4.656,0.268,4.612,0.265,4.646,0.268,4.824,0.287,4.326,0.272,4.339,0.276,4.627,0.3
11,11,8.485,0.134,7.029,0.229,6.938,0.221,7.065,0.223,6.938,0.221,6.938,0.221,6.938,0.221,6.938,0.221
