,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.459,0.818,1.773,0.497,1.695,0.51,1.817,0.506,1.617,0.502,1.352,0.531,2.066,0.512,1.833,0.503
1,1,0.254,0.909,1.815,0.562,1.964,0.553,2.004,0.539,1.878,0.549,2.34,0.529,1.832,0.528,2.647,0.507
2,2,0.209,0.927,2.146,0.54,2.082,0.564,2.124,0.551,2.421,0.518,2.147,0.542,1.57,0.533,2.46,0.545
3,3,0.307,0.884,2.284,0.492,2.275,0.505,2.382,0.49,2.541,0.535,2.287,0.537,1.643,0.531,2.633,0.55
4,4,0.644,0.779,2.601,0.436,2.574,0.448,2.687,0.427,2.685,0.542,1.808,0.539,1.933,0.5,2.759,0.507
5,5,1.078,0.633,2.549,0.403,2.519,0.412,2.749,0.39,2.968,0.496,1.743,0.53,2.48,0.455,2.676,0.492
6,6,1.395,0.558,2.596,0.397,2.582,0.4,2.735,0.385,3.048,0.447,1.944,0.476,3.028,0.382,2.586,0.458
7,7,1.639,0.548,2.573,0.391,2.579,0.4,2.778,0.396,3.15,0.448,2.163,0.447,3.049,0.382,2.684,0.443
8,8,2.172,0.47,2.605,0.4,2.628,0.401,2.765,0.397,2.997,0.425,2.207,0.452,2.536,0.397,2.498,0.444
9,9,3.219,0.324,3.234,0.34,3.301,0.34,3.387,0.338,3.726,0.337,3.257,0.321,2.893,0.328,3.097,0.363
10,10,4.583,0.205,3.954,0.287,4.066,0.291,4.172,0.281,4.316,0.304,3.944,0.286,3.434,0.28,3.924,0.302
11,11,8.2,0.136,6.487,0.246,6.529,0.248,6.758,0.234,6.529,0.248,6.529,0.248,6.529,0.248,6.529,0.248
