,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.418,0.826,1.697,0.495,1.701,0.504,1.804,0.502,1.522,0.507,1.613,0.534,1.813,0.506,1.839,0.496
1,1,0.407,0.84,1.968,0.492,1.972,0.507,2.093,0.487,1.785,0.516,2.425,0.509,1.508,0.541,2.294,0.514
2,2,0.379,0.866,2.386,0.479,2.388,0.47,2.486,0.467,2.519,0.505,2.197,0.555,1.515,0.534,2.611,0.515
3,3,0.4,0.842,2.564,0.417,2.565,0.438,2.681,0.416,2.683,0.512,2.095,0.506,1.706,0.512,2.903,0.507
4,4,0.717,0.725,2.696,0.389,2.692,0.4,2.75,0.387,3.077,0.495,1.686,0.526,1.885,0.523,2.887,0.504
5,5,1.002,0.652,2.649,0.379,2.692,0.406,2.717,0.394,3.413,0.468,1.474,0.529,2.635,0.444,2.722,0.484
6,6,1.421,0.568,2.711,0.372,2.737,0.375,2.816,0.378,2.971,0.445,1.63,0.504,3.0,0.392,2.76,0.461
7,7,1.601,0.535,2.712,0.388,2.716,0.389,2.801,0.368,3.111,0.449,1.874,0.462,2.759,0.366,2.588,0.465
8,8,2.131,0.438,2.697,0.377,2.704,0.391,2.783,0.364,3.107,0.414,2.053,0.437,2.552,0.386,2.332,0.452
9,9,3.092,0.311,3.23,0.329,3.285,0.336,3.351,0.312,3.755,0.346,2.996,0.316,2.985,0.307,3.343,0.355
10,10,4.432,0.188,3.905,0.287,4.01,0.284,4.086,0.266,4.358,0.31,4.13,0.284,3.56,0.282,4.054,0.311
11,11,8.2,0.136,6.487,0.246,6.529,0.248,6.758,0.234,6.529,0.248,6.529,0.248,6.529,0.248,6.529,0.248
