,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.506,0.798,1.436,0.536,1.516,0.529,2.152,0.469,1.012,0.552,0.808,0.584,1.303,0.528,0.999,0.571
1,1,0.537,0.808,1.795,0.544,1.86,0.545,2.69,0.481,1.27,0.528,1.255,0.564,1.32,0.54,1.36,0.606
2,2,0.646,0.814,2.021,0.544,2.073,0.528,3.114,0.463,1.469,0.612,1.912,0.588,1.451,0.527,1.73,0.609
3,3,0.595,0.834,2.067,0.546,2.162,0.525,3.19,0.462,1.833,0.596,1.853,0.611,1.423,0.532,1.77,0.621
4,4,0.818,0.777,2.02,0.507,2.057,0.481,3.121,0.443,1.574,0.635,2.276,0.579,1.447,0.571,1.626,0.61
5,5,1.154,0.686,2.235,0.452,2.291,0.453,3.315,0.403,2.185,0.546,2.569,0.507,1.919,0.471,1.706,0.571
6,6,1.434,0.585,2.171,0.437,2.239,0.434,3.274,0.4,2.329,0.501,2.937,0.465,2.197,0.376,2.241,0.497
7,7,1.935,0.472,2.547,0.378,2.634,0.365,3.447,0.359,2.57,0.416,3.011,0.426,2.143,0.362,2.23,0.455
8,8,2.802,0.347,3.137,0.327,3.19,0.311,3.649,0.34,3.099,0.393,3.461,0.383,2.493,0.292,2.965,0.385
9,9,3.971,0.239,4.028,0.248,4.099,0.226,4.239,0.291,4.002,0.276,3.53,0.279,3.5,0.208,3.585,0.283
10,10,5.059,0.189,4.869,0.223,4.968,0.206,4.737,0.279,4.842,0.254,4.647,0.254,4.66,0.197,4.674,0.264
11,11,8.225,0.103,7.574,0.151,7.666,0.124,6.444,0.223,7.666,0.124,7.666,0.124,7.666,0.124,7.666,0.124
