,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4985,0.599625,0.495875,0.6385,0.35325
1,1,0.553875,0.6745,0.5605,0.57525,0.54575
2,2,0.72825,0.855625,0.20525,0.208,0.2025
3,3,0.78225,0.921875,0.223375,0.24375,0.203
4,4,0.8665,0.959375,0.206375,0.2105,0.20225
5,5,0.93775,0.990625,0.219125,0.235,0.20325
6,6,0.969375,0.998875,0.203875,0.2045,0.20325
7,7,0.993,1.0,0.007625,0.01025,0.005
8,8,0.997125,1.0,0.006625,0.0085,0.00475
9,9,0.996375,1.0,0.00925,0.00975,0.00875
10,10,0.996375,1.0,0.010625,0.01075,0.0105
11,11,0.996125,1.0,0.01075,0.01075,0.01075
