,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4985,0.599625,0.246625,0.155,0.33825
1,1,0.553875,0.6745,0.381875,0.32825,0.4355
2,2,0.72825,0.855625,0.745,0.7885,0.7015
3,3,0.78225,0.921875,0.727375,0.753,0.70175
4,4,0.8665,0.959375,0.74425,0.78675,0.70175
5,5,0.93775,0.990625,0.725,0.75025,0.69975
6,6,0.969375,0.998875,0.72225,0.748,0.6965
7,7,0.993,1.0,0.40875,0.35975,0.45775
8,8,0.997125,1.0,0.01625,0.01375,0.01875
9,9,0.996375,1.0,0.012625,0.012,0.01325
10,10,0.99625,1.0,0.0105,0.0105,0.0105
11,11,0.996125,1.0,0.01075,0.01075,0.01075
