,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.447,0.813,1.295,0.511,1.355,0.485,1.334,0.496,2.315,0.499,1.829,0.51,2.818,0.5,1.997,0.501
1,1,0.514,0.806,1.885,0.494,1.871,0.512,1.823,0.502,3.336,0.5,2.943,0.5,2.761,0.5,3.156,0.499
2,2,0.478,0.833,1.665,0.535,1.802,0.52,1.784,0.517,4.097,0.499,3.6,0.501,3.07,0.5,3.714,0.501
3,3,0.191,0.933,2.302,0.524,2.31,0.522,2.229,0.53,5.43,0.499,3.932,0.515,2.861,0.5,4.963,0.492
4,4,0.385,0.884,2.574,0.535,2.54,0.529,2.581,0.527,5.642,0.5,3.504,0.539,2.491,0.488,4.993,0.507
5,5,0.494,0.852,2.487,0.548,2.588,0.536,2.409,0.561,2.994,0.575,3.792,0.518,2.492,0.496,3.677,0.558
6,6,3.197,0.422,6.034,0.242,6.134,0.227,5.779,0.258,3.633,0.402,4.415,0.371,2.968,0.473,3.885,0.418
7,7,5.204,0.192,6.883,0.114,6.983,0.124,6.819,0.132,3.78,0.336,4.905,0.177,3.584,0.417,4.405,0.321
8,8,5.413,0.156,6.691,0.099,6.746,0.106,6.778,0.104,6.309,0.071,8.029,0.045,4.688,0.238,4.922,0.171
9,9,4.103,0.266,5.035,0.182,5.121,0.185,5.196,0.184,5.526,0.089,7.332,0.029,3.955,0.257,3.523,0.225
10,10,5.582,0.168,6.099,0.14,6.083,0.149,6.173,0.137,6.972,0.046,6.712,0.072,5.949,0.067,5.858,0.097
11,11,13.178,0.0,13.055,0.001,13.018,0.003,13.034,0.003,13.008,0.003,13.004,0.003,13.021,0.003,13.017,0.003
