,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.439,0.81,1.23,0.536,1.253,0.509,1.255,0.518,2.252,0.498,1.863,0.509,2.627,0.5,2.003,0.506
1,1,0.288,0.89,1.738,0.527,1.689,0.536,1.714,0.536,3.284,0.501,3.644,0.5,2.672,0.5,3.274,0.499
2,2,0.094,0.964,1.088,0.707,0.989,0.736,1.02,0.716,4.446,0.5,3.712,0.511,2.987,0.5,4.075,0.504
3,3,0.002,1.0,0.398,0.905,0.403,0.908,0.42,0.911,4.967,0.505,0.917,0.815,2.852,0.5,2.686,0.657
4,4,0.004,0.999,0.407,0.913,0.475,0.902,0.46,0.91,4.846,0.527,1.117,0.792,2.615,0.498,2.625,0.664
5,5,0.002,1.0,0.527,0.89,0.561,0.886,0.54,0.888,3.083,0.567,1.491,0.715,2.594,0.47,2.93,0.612
6,6,1.752,0.59,4.396,0.376,4.503,0.357,4.278,0.383,4.115,0.384,4.044,0.42,2.842,0.475,4.811,0.348
7,7,4.171,0.243,6.054,0.155,6.098,0.158,5.898,0.147,4.976,0.186,5.414,0.217,3.877,0.445,5.44,0.208
8,8,4.479,0.226,5.783,0.15,5.958,0.146,5.745,0.151,6.828,0.146,7.778,0.086,5.474,0.156,5.87,0.119
9,9,3.636,0.304,4.649,0.215,4.782,0.208,4.578,0.223,6.477,0.051,7.189,0.081,3.914,0.204,5.045,0.117
10,10,5.519,0.169,6.066,0.139,6.239,0.143,5.982,0.149,6.307,0.083,6.736,0.064,5.412,0.089,5.413,0.138
11,11,12.869,0.009,12.768,0.008,12.752,0.009,12.764,0.01,12.747,0.009,12.75,0.009,12.748,0.009,12.744,0.009
