,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.258,0.89,0.824,0.688,0.851,0.676,0.986,0.644,2.174,0.5,1.402,0.509,2.031,0.486,1.79,0.501
1,1,0.109,0.967,0.784,0.766,0.761,0.785,1.148,0.714,3.1,0.5,2.291,0.499,2.078,0.5,2.672,0.504
2,2,0.01,0.997,0.251,0.933,0.307,0.924,0.7,0.834,3.489,0.51,1.948,0.571,2.223,0.499,2.384,0.561
3,3,0.009,0.997,0.429,0.914,0.457,0.913,0.803,0.84,3.397,0.551,1.109,0.767,2.3,0.5,1.924,0.706
4,4,0.015,0.998,0.916,0.818,0.943,0.821,1.634,0.711,4.284,0.524,1.431,0.713,2.399,0.492,3.532,0.572
5,5,0.022,0.994,1.212,0.768,1.24,0.779,1.941,0.668,2.395,0.609,2.311,0.611,2.24,0.493,2.606,0.6
6,6,3.428,0.361,5.48,0.222,5.593,0.213,6.905,0.153,3.403,0.361,3.19,0.388,2.522,0.461,4.03,0.345
7,7,4.923,0.208,6.161,0.144,6.252,0.135,7.527,0.101,3.611,0.402,4.137,0.33,2.764,0.456,4.149,0.358
8,8,5.311,0.132,6.401,0.09,6.503,0.085,7.265,0.07,6.025,0.075,6.904,0.04,3.585,0.207,4.912,0.154
9,9,4.005,0.263,4.726,0.198,4.777,0.19,5.276,0.165,4.988,0.071,6.261,0.07,2.071,0.248,4.219,0.165
10,10,5.12,0.179,5.677,0.15,5.638,0.149,5.835,0.118,4.752,0.211,4.717,0.116,2.91,0.347,3.874,0.256
11,11,12.707,0.001,12.629,0.0,12.672,0.0,12.358,0.003,12.672,0.0,12.659,0.0,12.674,0.0,12.665,0.0
