,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.514,0.783,1.412,0.473,1.314,0.515,1.417,0.481,1.723,0.498,1.548,0.501,2.194,0.499,1.672,0.498
1,1,0.587,0.809,1.983,0.503,2.021,0.49,2.152,0.475,2.783,0.5,2.38,0.5,2.131,0.495,2.972,0.5
2,2,0.428,0.848,1.768,0.534,1.704,0.551,2.009,0.519,3.303,0.5,2.958,0.5,2.089,0.5,3.134,0.499
3,3,0.231,0.926,2.144,0.561,2.253,0.548,2.765,0.491,4.838,0.5,3.174,0.53,2.504,0.5,5.044,0.501
4,4,0.232,0.917,2.152,0.549,2.216,0.559,2.47,0.535,5.554,0.501,2.729,0.585,2.191,0.513,5.647,0.507
5,5,0.436,0.859,2.263,0.55,2.41,0.53,2.65,0.518,3.962,0.525,3.279,0.48,2.12,0.487,5.2,0.494
6,6,3.049,0.363,5.511,0.202,5.722,0.195,5.591,0.225,3.543,0.357,3.587,0.324,2.251,0.474,4.013,0.301
7,7,5.025,0.161,6.491,0.101,6.503,0.118,6.518,0.141,2.972,0.315,4.2,0.221,2.191,0.472,3.883,0.273
8,8,5.428,0.137,6.623,0.082,6.731,0.08,6.493,0.104,5.578,0.112,4.048,0.191,4.875,0.209,4.798,0.163
9,9,4.027,0.249,4.865,0.192,4.88,0.176,4.701,0.217,3.726,0.202,3.19,0.202,3.307,0.188,3.041,0.291
10,10,4.9,0.19,5.481,0.161,5.428,0.173,5.142,0.188,4.589,0.226,4.048,0.169,2.241,0.401,2.677,0.358
11,11,12.72,0.0,12.6,0.0,12.633,0.001,11.451,0.035,12.516,0.001,12.521,0.001,12.523,0.001,12.525,0.001
