,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.793,0.698,1.656,0.474,1.658,0.471,1.571,0.487,1.282,0.502,1.1,0.538,1.445,0.503,1.275,0.504
1,1,0.654,0.804,2.373,0.541,2.428,0.523,2.403,0.514,2.464,0.477,1.919,0.488,1.505,0.482,2.37,0.482
2,2,0.656,0.824,2.333,0.55,2.212,0.568,2.332,0.549,2.824,0.495,2.12,0.564,1.459,0.498,2.486,0.525
3,3,0.337,0.909,2.468,0.561,2.313,0.578,2.359,0.562,3.258,0.513,2.55,0.606,1.478,0.483,2.69,0.583
4,4,0.336,0.891,2.405,0.573,2.311,0.599,2.425,0.586,2.54,0.613,2.634,0.627,1.524,0.471,1.365,0.776
5,5,0.406,0.889,2.597,0.563,2.53,0.568,2.503,0.573,1.732,0.678,3.393,0.522,1.214,0.498,1.47,0.743
6,6,0.555,0.812,2.074,0.492,1.952,0.53,2.007,0.507,2.094,0.558,2.365,0.528,1.901,0.468,2.234,0.568
7,7,1.543,0.7,2.25,0.574,2.254,0.582,2.201,0.578,1.992,0.613,2.481,0.54,1.86,0.418,2.402,0.579
8,8,1.365,0.788,2.009,0.691,1.947,0.71,1.966,0.689,1.542,0.439,1.3,0.683,2.088,0.46,1.679,0.659
9,9,1.083,0.834,1.412,0.768,1.359,0.766,1.422,0.758,2.219,0.424,1.064,0.692,1.77,0.508,0.913,0.83
10,10,1.318,0.763,1.555,0.713,1.518,0.725,1.589,0.704,2.713,0.339,0.938,0.763,2.045,0.548,0.713,0.862
11,11,11.071,0.0,10.587,0.015,10.54,0.013,10.638,0.009,10.344,0.012,10.369,0.012,10.344,0.012,10.347,0.013
