,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.519,0.796,1.268,0.574,1.296,0.572,1.907,0.508,1.217,0.514,1.061,0.532,1.661,0.524,1.116,0.534
1,1,0.279,0.891,1.701,0.64,1.802,0.633,3.139,0.534,2.493,0.518,1.693,0.592,2.02,0.492,2.335,0.547
2,2,0.175,0.947,1.082,0.754,1.151,0.743,2.713,0.584,2.544,0.561,1.429,0.686,2.035,0.523,1.972,0.652
3,3,0.006,0.999,0.348,0.937,0.338,0.94,1.094,0.822,2.39,0.701,0.513,0.898,1.97,0.512,1.592,0.797
4,4,0.011,0.997,0.498,0.918,0.448,0.914,1.406,0.79,1.844,0.745,1.558,0.749,2.012,0.516,1.391,0.807
5,5,0.009,0.998,0.578,0.906,0.492,0.906,1.509,0.767,1.807,0.711,3.978,0.537,2.305,0.499,1.411,0.781
6,6,0.1,0.979,0.9,0.818,0.801,0.831,2.329,0.626,1.445,0.733,2.899,0.618,1.964,0.51,1.418,0.717
7,7,0.092,0.975,0.687,0.853,0.656,0.854,1.839,0.693,1.776,0.668,2.503,0.621,2.069,0.481,1.984,0.702
8,8,0.218,0.965,0.606,0.862,0.598,0.855,1.534,0.735,1.637,0.399,1.637,0.589,1.819,0.394,1.228,0.709
9,9,0.289,0.944,0.565,0.871,0.533,0.876,1.419,0.741,2.541,0.258,1.001,0.761,1.173,0.517,0.684,0.868
10,10,0.987,0.796,1.21,0.739,1.116,0.759,1.834,0.63,4.624,0.195,1.679,0.681,1.154,0.649,0.825,0.795
11,11,11.52,0.0,11.087,0.009,11.113,0.009,9.992,0.054,10.921,0.008,10.918,0.008,10.9,0.008,10.915,0.008
