,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.71,0.732,1.408,0.558,1.489,0.532,1.814,0.489,1.196,0.51,1.089,0.532,1.616,0.51,1.121,0.528
1,1,0.52,0.83,1.961,0.587,2.023,0.587,3.139,0.503,2.365,0.537,1.704,0.6,1.969,0.494,2.164,0.573
2,2,0.258,0.918,1.493,0.676,1.461,0.675,2.861,0.539,2.837,0.55,1.793,0.614,1.919,0.525,2.472,0.593
3,3,0.01,0.997,0.634,0.878,0.61,0.885,1.646,0.733,3.27,0.571,0.683,0.863,1.905,0.508,2.424,0.687
4,4,0.027,0.996,0.755,0.869,0.659,0.879,2.04,0.703,2.285,0.693,0.979,0.813,1.893,0.529,1.665,0.755
5,5,0.052,0.99,0.835,0.839,0.724,0.868,2.252,0.668,1.811,0.706,3.872,0.537,1.973,0.524,1.504,0.753
6,6,0.209,0.954,1.107,0.739,1.077,0.738,2.54,0.571,1.12,0.752,1.471,0.625,1.833,0.513,1.945,0.664
7,7,0.14,0.974,0.765,0.796,0.824,0.792,1.804,0.635,1.112,0.708,1.354,0.631,2.309,0.505,1.495,0.696
8,8,0.264,0.961,0.559,0.858,0.642,0.846,1.331,0.735,1.788,0.416,1.503,0.604,1.99,0.41,1.333,0.658
9,9,0.459,0.906,0.679,0.82,0.779,0.81,1.27,0.72,2.345,0.302,0.739,0.714,2.049,0.431,0.695,0.83
10,10,0.941,0.792,1.098,0.729,1.174,0.724,1.581,0.618,3.042,0.286,0.756,0.77,1.14,0.625,0.822,0.77
11,11,11.377,0.0,10.812,0.014,10.803,0.013,9.243,0.091,10.611,0.014,10.626,0.014,10.609,0.014,10.611,0.014
