,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.771,0.714,1.534,0.533,1.615,0.511,1.791,0.496,1.203,0.511,1.072,0.516,1.847,0.497,1.155,0.512
1,1,0.63,0.809,1.995,0.577,2.033,0.579,3.086,0.502,2.437,0.542,1.793,0.599,1.847,0.52,2.313,0.553
2,2,0.434,0.862,1.867,0.606,1.801,0.615,3.101,0.508,2.516,0.559,1.809,0.592,1.81,0.532,2.55,0.556
3,3,0.241,0.936,1.75,0.637,1.743,0.626,3.159,0.513,2.572,0.612,1.446,0.679,1.811,0.501,2.411,0.624
4,4,0.267,0.94,1.726,0.649,1.719,0.651,3.23,0.523,1.942,0.673,1.428,0.72,1.853,0.52,1.923,0.701
5,5,0.347,0.923,1.358,0.678,1.304,0.686,3.021,0.531,1.373,0.673,2.048,0.63,1.988,0.515,1.404,0.715
6,6,0.205,0.95,1.128,0.688,1.156,0.701,2.383,0.529,1.006,0.694,1.122,0.639,1.866,0.554,1.185,0.688
7,7,0.119,0.978,0.664,0.828,0.681,0.827,1.586,0.649,1.201,0.692,1.479,0.585,2.323,0.517,1.479,0.699
8,8,0.213,0.97,0.494,0.864,0.503,0.87,1.208,0.738,1.47,0.446,1.413,0.609,1.914,0.43,1.263,0.664
9,9,0.464,0.891,0.727,0.805,0.701,0.812,1.274,0.707,2.613,0.288,0.91,0.705,1.818,0.476,0.818,0.79
10,10,1.002,0.773,1.225,0.728,1.061,0.747,1.577,0.631,3.92,0.225,0.834,0.708,1.101,0.615,0.82,0.782
11,11,11.377,0.0,10.811,0.014,10.803,0.013,9.242,0.092,10.608,0.013,10.629,0.013,10.604,0.014,10.601,0.013
