,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.052875,0.0525,0.05325
1,1,0.554875,0.643875,0.057375,0.0565,0.05825
2,2,0.818,0.889875,0.07325,0.073,0.0735
3,3,0.898875,0.966875,0.105125,0.0875,0.12275
4,4,0.89925,0.989125,0.08625,0.07225,0.10025
5,5,0.976,0.99075,0.071125,0.06675,0.0755
6,6,0.969,0.99375,0.05675,0.0555,0.058
7,7,0.975875,0.994,0.054875,0.0545,0.05525
8,8,0.975875,0.997875,0.05375,0.05375,0.05375
9,9,0.973125,0.995125,0.0535,0.0535,0.0535
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
