,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.501,0.54625,0.112,0.11475,0.10925
1,1,0.536875,0.628375,0.0975,0.0995,0.0955
2,2,0.7755,0.814,0.085625,0.0905,0.08075
3,3,0.8955,0.940875,0.18025,0.1955,0.165
4,4,0.959625,0.978,0.144875,0.153,0.13675
5,5,0.967,0.988,0.10075,0.10925,0.09225
6,6,0.9705,0.988375,0.0925,0.097,0.088
7,7,0.963125,0.991375,0.101625,0.101,0.10225
8,8,0.9675,0.989,0.10275,0.10275,0.10275
9,9,0.969375,0.987625,0.10525,0.1055,0.105
10,10,0.94075,0.982125,0.105,0.105,0.105
11,11,0.952375,0.9825,0.105,0.105,0.105
