,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.501,0.54625,0.108375,0.10975,0.107
1,1,0.536875,0.628375,0.100625,0.1015,0.09975
2,2,0.7755,0.814,0.0815,0.08225,0.08075
3,3,0.8955,0.940875,0.101,0.10625,0.09575
4,4,0.959625,0.978,0.094,0.0995,0.0885
5,5,0.967,0.988,0.08875,0.09225,0.08525
6,6,0.9705,0.988375,0.097375,0.0995,0.09525
7,7,0.963125,0.991375,0.10325,0.10325,0.10325
8,8,0.9675,0.989,0.104125,0.10425,0.104
9,9,0.969375,0.987625,0.105125,0.10525,0.105
10,10,0.94075,0.982125,0.105,0.105,0.105
11,11,0.952375,0.9825,0.105,0.105,0.105
