,value,stream,layer,val acc,train acc
0,class,stream_1,0,0.50859375,0.55234375
1,class,stream_1,1,0.631875,0.67265625
2,class,stream_1,2,0.77484375,0.7865625
3,class,stream_1,3,0.91984375,0.9403125
4,class,stream_1,4,0.9709375,0.990625
5,class,stream_1,5,0.9771875,0.99453125
6,class,stream_1,6,0.98203125,0.99921875
7,class,stream_1,7,0.98046875,0.98546875
8,class,stream_1,8,0.98546875,0.99984375
9,class,stream_1,9,0.9853125,0.99796875
10,class,stream_1,10,0.98515625,0.99984375
11,class,stream_1,11,0.9859375,1.0
12,class,stream_1,12,0.98546875,1.0
13,class,stream_2,0,0.4978125,0.52859375
14,class,stream_2,1,0.6946875,0.65359375
15,class,stream_2,2,0.76109375,0.78625
16,class,stream_2,3,0.87875,0.9034375
17,class,stream_2,4,0.9665625,0.99
18,class,stream_2,5,0.97703125,0.9975
19,class,stream_2,6,0.98109375,0.9946875
20,class,stream_2,7,0.9759375,0.99546875
21,class,stream_2,8,0.98140625,1.0
22,class,stream_2,9,0.98140625,0.99984375
23,class,stream_2,10,0.981875,0.999375
24,class,stream_2,11,0.98421875,1.0
25,class,stream_2,12,0.98609375,1.0
26,class,cls,0,0.5,0.4953125
27,class,cls,1,0.52578125,0.49890625
28,class,cls,2,0.51671875,0.5684375
29,class,cls,3,0.605,0.66328125
30,class,cls,4,0.833125,0.84140625
31,class,cls,5,0.9540625,0.96296875
32,class,cls,6,0.9765625,0.9903125
33,class,cls,7,0.9809375,0.9959375
34,class,cls,8,0.97484375,0.9946875
35,class,cls,9,0.985625,0.99953125
36,class,cls,10,0.98421875,1.0
37,class,cls,11,0.98609375,1.0
38,class,cls,12,0.98640625,1.0
