,layer,Feature Cosine Sim,Feature Sig,Template Cosine Sim,Template Sig,Raw Image Sim,Image Sig,Patch Sim,Patch Sig
0,0,0.0011780730664340648,0.807,0.0016699633375192374,0.862,0.0377414572380487,1.0,0.027374926499753816,1.0
1,1,0.0020505859283738723,0.915,0.0022270331960809802,0.913,0.03868757404271847,1.0,0.024640124042963722,1.0
2,2,0.18132350732073851,1.0,0.07527136740767978,1.0,0.0008521547844868446,0.602,0.004393434853845498,0.86
3,3,0.1409525454520828,1.0,0.05795669902617986,1.0,0.02287416673841815,1.0,0.012425006190513377,1.0
4,4,0.1765401136953731,1.0,0.07304992816729022,1.0,0.020645691141753603,1.0,0.017167942745674965,1.0
5,5,0.22409814605567482,1.0,0.09132118677731185,1.0,0.03141107234881854,1.0,0.02093865066196826,1.0
6,6,0.22734718781179028,1.0,0.09192031935471773,1.0,0.027907454218354347,1.0,0.016047951923489324,1.0
7,7,0.1896112639199199,1.0,0.07738209864690707,1.0,0.013808258404001218,1.0,0.004570308632876886,0.863
8,8,0.12448992587544427,1.0,0.05145670314184195,1.0,0.01801231226131406,1.0,0.01211694243928229,0.996
9,9,0.0904816265015331,1.0,0.036862601405567685,1.0,0.014029380953883187,0.996,0.015539792605022834,0.999
10,10,0.0623353679611391,1.0,0.025854554642759747,1.0,0.013131236745509678,0.989,0.01373318134047746,0.989
11,11,0.036725955720609216,1.0,0.01624514005694734,1.0,-0.0017941134515726085,0.407,0.016558453870578797,0.985
12,12,0.016012022190011077,1.0,0.0074080976189806105,1.0,-0.0035802932441877803,0.246,0.00955590660859909,0.937
