,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.077,0.984,0.343,0.926,0.347,0.928,0.371,0.923,0.963,0.77,0.435,0.905,2.041,0.528,0.871,0.826
1,1,0.092,0.982,0.381,0.921,0.426,0.915,0.402,0.918,1.109,0.781,0.804,0.848,2.218,0.543,1.039,0.802
2,2,0.485,0.904,1.171,0.77,1.278,0.752,1.183,0.769,2.535,0.529,2.488,0.556,2.592,0.498,2.289,0.581
3,3,2.953,0.488,3.636,0.369,3.522,0.387,3.555,0.383,3.243,0.421,3.023,0.47,3.266,0.385,3.245,0.426
4,4,3.994,0.307,4.248,0.27,4.166,0.282,4.215,0.272,3.188,0.463,3.02,0.492,3.048,0.482,3.25,0.449
5,5,5.003,0.136,5.062,0.136,5.038,0.135,5.115,0.127,4.393,0.239,3.938,0.315,3.823,0.307,4.406,0.241
6,6,5.766,0.03,5.687,0.04,5.682,0.043,5.73,0.036,5.674,0.04,5.773,0.029,5.141,0.106,5.654,0.043
7,7,5.86,0.01,5.799,0.02,5.783,0.021,5.797,0.024,5.681,0.026,5.854,0.013,5.175,0.067,5.717,0.022
8,8,5.844,0.013,5.776,0.021,5.755,0.024,5.782,0.025,5.77,0.02,5.868,0.015,5.134,0.07,5.771,0.02
9,9,5.826,0.016,5.729,0.026,5.718,0.026,5.747,0.027,5.706,0.025,5.881,0.014,4.635,0.11,5.742,0.024
10,10,5.977,0.004,5.895,0.013,5.893,0.012,5.87,0.018,5.893,0.012,5.893,0.012,5.893,0.012,5.893,0.012
11,11,5.977,0.004,5.895,0.013,5.893,0.012,5.87,0.018,5.893,0.012,5.893,0.012,5.893,0.012,5.893,0.012
