,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.612,0.566,2.965,0.508,2.949,0.508,3.146,0.477,3.26,0.445,2.487,0.581,3.696,0.372,2.587,0.566
1,1,2.787,0.543,3.012,0.503,2.977,0.508,3.209,0.473,3.017,0.489,2.404,0.6,3.428,0.423,2.707,0.552
2,2,3.085,0.492,3.154,0.482,3.156,0.481,3.288,0.458,3.076,0.481,3.016,0.5,2.493,0.486,3.077,0.493
3,3,3.344,0.45,3.529,0.415,3.514,0.421,3.722,0.384,3.062,0.498,3.074,0.494,3.024,0.5,3.076,0.498
4,4,5.306,0.132,5.411,0.112,5.328,0.126,5.389,0.115,4.203,0.307,4.359,0.279,3.529,0.415,4.581,0.245
5,5,5.784,0.056,5.783,0.057,5.828,0.05,5.678,0.071,4.943,0.182,4.456,0.263,5.583,0.085,5.348,0.118
6,6,5.931,0.032,5.883,0.033,5.907,0.034,5.757,0.056,5.355,0.115,4.298,0.274,6.161,0.002,5.692,0.064
7,7,6.185,0.0,6.154,0.003,6.148,0.004,5.982,0.025,6.148,0.004,6.148,0.004,6.148,0.004,6.148,0.004
8,8,6.185,0.0,6.154,0.003,6.148,0.004,5.982,0.025,6.148,0.004,6.148,0.004,6.148,0.004,6.148,0.004
9,9,6.185,0.0,6.154,0.003,6.148,0.004,5.982,0.025,6.148,0.004,6.148,0.004,6.148,0.004,6.148,0.004
10,10,6.185,0.0,6.154,0.003,6.148,0.004,5.982,0.025,6.148,0.004,6.148,0.004,6.148,0.004,6.148,0.004
11,11,6.185,0.0,6.154,0.003,6.148,0.004,5.982,0.025,6.148,0.004,6.148,0.004,6.148,0.004,6.148,0.004
