,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.929,0.521,3.037,0.503,3.066,0.498,3.163,0.482,2.802,0.526,2.459,0.582,3.124,0.48,2.778,0.54
1,1,2.322,0.614,2.936,0.508,3.038,0.488,3.046,0.489,2.583,0.554,1.793,0.689,2.634,0.527,2.423,0.593
2,2,2.633,0.562,3.124,0.48,3.118,0.483,3.167,0.475,3.213,0.462,2.888,0.511,2.992,0.498,2.853,0.526
3,3,3.821,0.363,3.985,0.333,4.052,0.324,4.123,0.313,3.128,0.489,3.309,0.457,3.045,0.5,3.368,0.448
4,4,4.295,0.279,4.322,0.274,4.419,0.258,4.269,0.291,3.363,0.443,3.939,0.34,3.073,0.496,3.724,0.38
5,5,5.315,0.125,5.318,0.124,5.359,0.115,5.073,0.159,4.623,0.232,4.545,0.242,4.364,0.268,4.939,0.18
6,6,5.978,0.024,5.961,0.024,5.902,0.034,5.319,0.119,5.899,0.036,5.929,0.03,3.122,0.445,5.921,0.034
7,7,6.092,0.01,6.052,0.013,6.027,0.017,5.46,0.1,6.039,0.017,6.043,0.013,5.985,0.024,6.034,0.018
8,8,6.099,0.01,6.062,0.011,6.036,0.016,5.473,0.096,6.05,0.013,6.024,0.011,6.033,0.018,6.042,0.017
9,9,5.954,0.005,5.907,0.009,5.88,0.011,5.371,0.087,5.634,0.01,4.472,0.015,6.055,0.011,5.68,0.012
10,10,6.133,0.005,6.091,0.009,6.071,0.011,5.537,0.087,6.071,0.011,6.071,0.011,6.071,0.011,6.071,0.011
11,11,6.133,0.005,6.091,0.009,6.071,0.011,5.537,0.087,6.071,0.011,6.071,0.011,6.071,0.011,6.071,0.011
