,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.51,0.878,1.181,0.69,1.221,0.685,2.167,0.436,2.911,0.249,1.951,0.48
1,1,0.326,0.924,0.918,0.759,0.91,0.752,2.015,0.461,2.751,0.272,1.374,0.627
2,2,0.485,0.886,1.22,0.686,1.15,0.708,1.497,0.606,2.571,0.342,1.615,0.578
3,3,0.631,0.849,1.272,0.665,1.296,0.663,1.094,0.713,2.258,0.403,1.18,0.695
4,4,0.858,0.797,1.286,0.668,1.285,0.664,1.264,0.677,1.733,0.531,1.192,0.692
5,5,0.917,0.782,1.363,0.645,1.328,0.654,1.124,0.71,1.923,0.483,1.059,0.73
6,6,1.332,0.585,1.869,0.428,1.903,0.427,1.591,0.52,2.252,0.239,1.511,0.536
7,7,1.411,0.466,2.023,0.322,2.008,0.343,1.731,0.376,2.603,0.291,1.609,0.405
8,8,1.612,0.426,2.002,0.338,1.978,0.355,1.643,0.395,2.724,0.269,1.818,0.37
9,9,2.259,0.282,2.424,0.256,2.479,0.249,2.257,0.253,3.688,0.085,1.937,0.314
10,10,2.456,0.198,2.554,0.2,2.583,0.209,2.473,0.186,3.494,0.08,2.693,0.144
11,11,3.735,0.076,3.774,0.07,3.754,0.072,3.774,0.07,3.774,0.07,3.774,0.07
