,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.416,0.695,2.386,0.49,2.372,0.48,2.367,0.488,2.167,0.451,2.033,0.515,2.461,0.387,2.252,0.475
1,1,0.896,0.81,2.179,0.528,2.279,0.507,2.179,0.529,1.892,0.524,2.167,0.511,2.139,0.483,1.755,0.602
2,2,1.146,0.761,2.363,0.501,2.531,0.469,2.471,0.476,2.262,0.5,2.191,0.52,2.42,0.468,2.286,0.514
3,3,1.394,0.707,2.097,0.551,2.205,0.531,2.144,0.55,2.358,0.501,2.381,0.489,2.497,0.468,2.442,0.487
4,4,1.417,0.705,2.094,0.557,2.227,0.53,2.161,0.543,2.348,0.506,2.469,0.468,2.517,0.468,2.419,0.491
5,5,1.741,0.639,2.477,0.472,2.56,0.462,2.487,0.474,2.318,0.515,2.382,0.488,2.66,0.419,2.235,0.522
6,6,1.762,0.553,2.433,0.42,2.507,0.406,2.516,0.409,2.638,0.399,2.215,0.489,2.521,0.329,2.423,0.445
7,7,2.091,0.418,2.483,0.352,2.657,0.325,2.533,0.333,2.665,0.354,2.19,0.467,1.716,0.279,2.293,0.398
8,8,2.239,0.355,2.408,0.347,2.53,0.321,2.39,0.341,2.666,0.322,1.615,0.502,1.334,0.411,2.23,0.381
9,9,3.598,0.22,3.175,0.285,3.265,0.267,3.273,0.279,3.223,0.281,1.922,0.431,4.4,0.117,3.003,0.309
10,10,3.701,0.071,3.199,0.172,3.234,0.169,3.25,0.166,2.987,0.177,4.326,0.107,0.725,0.454,3.119,0.158
11,11,5.2,0.004,4.442,0.122,4.505,0.105,4.521,0.107,4.505,0.105,4.505,0.105,4.505,0.105,4.505,0.105
